Group,Topic,Region,Attendees
Governing Bodies | Senior Management,,,
Zara Holding Supervisory Board,Ethics and Compliance,Netherlands,18
Brands Management,Ethics and Compliance,Spain,4
Subsidiary management,Ethics and Compliance,"France, Switzerland, Austria, Germany, Nordic countries, Turkey (ITX Trading)",5
Bangladesh Management,Ethics and Compliance,Bangladesh,1
Senior Management,Ethics and Compliance,Spain (online),15
Corporate office,,,
Region or Subregion    Compliance    Region    Staff,,,
Senior Management      Ethics and    Spain (online)    15,,,
Corporate,brands,logistics and factory staff    Ethics and    Spain    3,820
Corporate staff foreign subsidiaries    Ethics and    Austria,China,Belgium,"USA,Switzerland (Retail+ITX Trading),Germany,Nordic countries,France,Turkey,Mexico,Canada    511"
Staff bound by the Internal Regulation of Conduct (IRC)    Internal Regulation of Conduct (IRC)    Spain and Mexico    4,,,
ITX Trading staff    Ethics and    Switzerland and Turkey    73,,,
Staff bound by the Internal Regulation of Conduct (IRC)\tInternal Regulation of Conduct (IRC)\tSpain and Mexico\t4,,,
ITX Trading staff\tEthics and Compliance\tSwitzerland and Turkey\t73,,,
Stores | Logistics-distribution | Factories,,,
Zara Home stores area managers\tEthics and Compliance\tSpain and subsidiaries\t1,244,,
\t\tSerbia\t85,,,
\t\tSlovakia\t5,,,
\t\tBulgaria\t268,,,
\t\tAustria\t267,,,
\t\tFrance\t70,,,
\t\tGreece\t6,082,,
\t\tTurkey\t558,,,
\t\tUkraine\t242,,,
Store staff\t'Buenos días' – Compliance\t\t\t,,,
Country,Turkey,Ukraine,
Turkey,558,,
Ukraine,242,,
