Sierra,Proprietary,100,-,200,-,500
Name or social name of the Director\tType\tRemuneration of Board members\tRemuneration of Deputy Chairman of Board of Directors\tRemuneration for serving on Committees and other Board of Directors\tRemuneration for chairing Committees\tFixed remuneration\tVariable remuneration 2020\tMultiannual variable remuneration (cash and shares) 2020\tTotal 2020,,,,,,
Mr Pablo Isla Álvarez de Tejera\tExecutive\t100\t-\t-\t-\t3,250\t2,535\t-\t5,885,,,
Mr José Arnau Sierra\tProprietary\t100\t80\t200\t-\t-\t-\t-\t380,,,,,,
Mr Carlos Crespo Gonzalez\tExecutive\t100\t-\t-\t-\t1,500\t1,170\t-\t2,770,,,
Mr Carlos Crespo Gonzalez,Executive,100,-,-,-,"1,500,1,170,-,2,770"
Mr Amancio Ortega Gaona,Proprietary,100,-,-,-,"-,-,-,100"
PONTEGADEA INVERSIONES S.L. (1),Proprietary,100,-,-,-,"-,-,-,100"
Bns Denise Patricia Kingsmill,Independent,100,-,150,50,"-,-,-,300"
Ms Anne Lange,Independent,100,-,150,-,"-,-,-,250"
Ms Pilar López,Independent,100,-,150,27,"-,-,-,277"
Name\tParty\t100\t150\t27\t23\t50\t250\t277\t273\t300\t300\t1,100\t80\t1,100\t200\t4,750\t3,705\t10,935,
Ms Anne Lange\tIndependent\t100\t150\t-\t-\t-\t-\t-\t-\t-\t-\t1,100\t80\t1,100\t200\t4,750\t3,705\t10,935,
Ms Pilar López Álvarez\tIndependent\t100\t150\t27\t-\t-\t-\t-\t-\t-\t-\t1,100\t80\t1,100\t200\t4,750\t3,705\t10,935,
Mr José Luis Durán Schulz\tIndependent\t100\t150\t23\t-\t-\t-\t-\t-\t-\t-\t1,100\t80\t1,100\t200\t4,750\t3,705\t10,935,
Mr Rodrigo Echenique Gordillo\tIndependent\t100\t150\t50\t-\t-\t-\t-\t-\t-\t-\t1,100\t80\t1,100\t200\t4,750\t3,705\t10,935,
Mr Emilio Saracho Rodríguez de Torres\tIndependent\t100\t150\t50\t-\t-\t-\t-\t-\t-\t-\t1,100\t80\t1,100\t200\t4,750\t3,705\t10,935,
TOTAL\t\t1,100\t80\t1,100\t200\t4,750\t3,705\t10,935,
