TOTAL WAGES in €,2021,2020,2019,2018,JOB CLASSIFICATION,Management
TOTAL WAGES in €,2021,2020,2019,2018,Supervisors,
TOTAL WAGES in €,2021,2020,2019,2018,Specialists,
TOTAL WAGES in €,2021,2020,2019,2018,AGE,Under 30
TOTAL WAGES in €,2021,2020,2019,2018,AGE,Between 30 and 40
TOTAL WAGES in €,2021,2020,2019,2018,AGE,Over 40
52744,50050,51327,47804,Management,,
33840,32859,31002,27963,Supervisors,,
20875,20751,19260,18480,Specialists,,
17054,16598,16444,15350,Under 30,,
28689,28214,27433,26320,Between 30 and 40,,
42130,43648,42297,41062,Over 40,,
