,2021,2021,2021,2021,2020,2020,2020,2020,2019,2019,2019,2019,2018,2018,2018,2018
,Permanent Temporary Permanent Temporary Permanent Temporary Permanent Temporary,Permanent Temporary Permanent Temporary Permanent Temporary Permanent Temporary,Permanent Temporary Permanent Temporary Permanent Temporary Permanent Temporary,Permanent Temporary Permanent Temporary Permanent Temporary Permanent Temporary,Permanent Temporary Permanent Temporary Permanent Temporary Permanent Temporary,Permanent Temporary Permanent Temporary Permanent Temporary Permanent Temporary,Permanent Temporary Permanent Temporary Permanent Temporary Permanent Temporary,Permanent Temporary Permanent Temporary Permanent Temporary Permanent Temporary,Permanent Temporary Permanent Temporary Permanent Temporary Permanent Temporary,Permanent Temporary Permanent Temporary Permanent Temporary Permanent Temporary,Permanent Temporary Permanent Temporary Permanent Temporary Permanent Temporary,Permanent Temporary Permanent Temporary Permanent Temporary Permanent Temporary,Permanent Temporary Permanent Temporary Permanent Temporary Permanent Temporary,Permanent Temporary Permanent Temporary Permanent Temporary Permanent Temporary,Permanent Temporary Permanent Temporary Permanent Temporary Permanent Temporary,Permanent Temporary Permanent Temporary Permanent Temporary Permanent Temporary
,Numberofemployees,%,Numberofemployees,%,Numberofemployees,%,Numberofemployees,%,Numberofemployees,%,Numberofemployees,%,Numberofemployees,%,Numberofemployees,%
Distribution by gender,Distribution by gender,Distribution by gender,Distribution by gender,Distribution by gender,Distribution by gender,Distribution by gender,Distribution by gender,Distribution by gender,Distribution by gender,Distribution by gender,Distribution by gender,Distribution by gender,Distribution by gender,Distribution by gender,Distribution by gender,Distribution by gender
Women,"100,92581%",81%,"24,235",19%,"93,74887%",87%,"14,543",13%,"100,968",76%,"31,606",24%,"96,51874%",74%,"34,607",26%
Men,"32,904",83%,"6,978",17%,"31,690",88%,"4,135",12%,"34,219",78%,"9,818",22%,"30,655",71%,"12,606",29%
TOTAL,"133,829",81%,"31,213",19%,"125,438",87%,"18,678",13%,"135,187",77%,"41,424",23%,"127,173 73%",73%,"47,213",27%
Distribution by age,Distribution by age,Distribution by age,Distribution by age,Distribution by age,Distribution by age,Distribution by age,Distribution by age,Distribution by age,Distribution by age,Distribution by age,Distribution by age,Distribution by age,Distribution by age,Distribution by age,Distribution by age,Distribution by age
<30yearsold,"64,82471%",71%,"26,252",29%,"64,71681%",81%,"15,034",19%,"70,658",68%,"33,387",32%,"65,18663%",63%,"38,797",37%
30-40 yearsold,"45,593",92%,"4,066",8%,"41,677",93%,"3,031",7%,"44,874",87%,"6,711",13%,"44,14586%",86%,"7,155",14%
>40yearsold,"23,412",96%,895,4%,"19,045",97%,613,3%,"19,655",94%,"1,326",6%,"17,842",93%,"1,261",7%
TOTAL,"133,82981%",81%,"31,213",19%,"125,43887%",87%,"18,678",13%,"135,18777%",77%,"41,42423%",23%,"127,17373%",73%,"47,21327%",27%
Distribution by job classfication (20),Distribution by job classfication (20),Distribution by job classfication (20),Distribution by job classfication (20),Distribution by job classfication (20),Distribution by job classfication (20),Distribution by job classfication (20),Distribution by job classfication (20),Distribution by job classfication (20),Distribution by job classfication (20),Distribution by job classfication (20),Distribution by job classfication (20),Distribution by job classfication (20),Distribution by job classfication (20),Distribution by job classfication (20),Distribution by job classfication (20),Distribution by job classfication (20)
Management,"13,788",97%,"2,313",3%,"11,451",96%,539,4%,"9,268",89%,"1,146",11%,"7,000",90%,,10%
Supervisor,"15,582",96%,"4,677",4%,"15,596",95%,811,5%,"19,209",92%,"1,657",8%,"18,215",88%,"2,614",12%
Specialist,"104,459",78%,"24,223",22%,"98,391",85%,"17,328",15%,"106,710",73%,"38,622",27%,"101,958",70%,"43,791",30%
TOTAL,"133,82981%",81%,"31,21319%",19%,"125,43887%",87%,"18,67813%",13%,"135,18777%",77%,"41,424",23%,"127,17373%",73%,"47,21327%",27%
