Total contribution - Inditex,2021,2020,2019,2018,Own taxes,Taxes collected
Total contribution - Inditex,"6,093","4,689","6,749","6,166","2,423","3,670"
Total contribution - Inditex,,,,,"1,916","2,773"
Total contribution - Inditex,,,,,"3,040","3,709"
Total contribution - Inditex,,,,,"2,764","3,402"
Total contribution - Spain,"1,501","1,201","1,874","1,692",780,721
Total contribution - Spain,,,,,620,581
Total contribution - Spain,,,,,"1,049",825
Total contribution - Spain,,,,,928,764
Total contribution - Europe (ex-Spain),"3,217","2,562","3,398","3,168",794,"2,423"
Total contribution - Europe (ex-Spain),,,,,691,"1,871"
Total contribution - Europe (ex-Spain),,,,,"1,023","2,375"
Total contribution - Europe (ex-Spain),,,,,988,"2,180"
Total contribution - America,910,534,943,760,592,318
Total contribution - America,,,,,357,177
Total contribution - America,,,,,623,320
Total contribution - America,,,,,489,271
Total contribution - Asia and rest of the world,465,392,534,546,257,208
Total contribution - Asia and rest of the world,,,,,248,144
Total contribution - Asia and rest of the world,,,,,345,189
Total contribution - Asia and rest of the world,,,,,359,187
