Name,Total cash remuneration,EBITDA of vested shares or financial instruments,Remuneration by way of savings systems,Other items of remuneration,Total FY2021 company
Mr PABLO ISLA ÁLVAREZ DE TEJERA,"9,985","2,458",,,"12,443"
Mr CARLOS CRESPO GONZÁLEZ134,"4,229","1,534",,,"5,763"
Mr ÓSCAR GARCÍA MACEIRAS135,712,34,,,746
Mr AMANCIO ORTEGA GAONA,100,,,,100
Mr JOSÉ ARNAU SIERRA,380,,,,380
"PONTEGADEA INVERSIONES, S.L. (REPRESENTED BY MS. FLORA PÉREZ MARCOTE)",100,,,,100
BNS. DENISE PATRICIA KINGSMILL,300,,,,300
Mr JOSÉ LUIS DURÁN SCHULZ,250,,,,250
Mr RODRIGO ECHENIQUE GORDILLO,300,,,,300
Ms PILAR LÓPEZ ÁLVAREZ,300,,,,300
Mr EMILIO SARACHO RODRÍGUEZ DE TORRES,300,,,,300
Ms ANNE LANGE,250,,,,250
TOTAL,"17,206","4,026",,,"21,232"
