Group,Topic,Region,Attendees
Governing Bodies | Senior Management,Governing Bodies | Senior Management,Governing Bodies | Senior Management,Governing Bodies | Senior Management
Zara Holding Supervisory Board,Ethics andCompliance,Netherlands,18
Brands Management,Ethics andCompliance,Spain,4
Subsidiary management,Ethics andCompliance,"France, Switzerland,Austria, Germany,Nordic countries,Turkey (ITX Trading)",5
Bangladesh Management,Ethics andCompliance,Bangladesh,1
Senior Management,Ethics andCompliance,Spain (online),15
Corporate office,Corporate office,Corporate office,Corporate office
"Corporate,brands,logistics and factorystaff",EthicsandCompliance,Spain,"3,820"
Corporate staff foreign subsidiaries,Ethics andCompliance,"Austria, China,Belgium, USA,Switzerland(Retail+ITX Trading),Germany, Nordiccountries,France,Turkey, Mexico,Canada",511
Staff bound by the Internal Regulationof Conduct (IRC),Internal Regulation ofConduct (IRC),Spain and Mexico,4
ITX Trading staff,Ethics andCompliance,Switzerland andTurkey,73
Stores 丨Logistics-distribution 丨Factories,Stores 丨Logistics-distribution 丨Factories,Stores 丨Logistics-distribution 丨Factories,Stores 丨Logistics-distribution 丨Factories
Zara Home stores area managers,EthicsandCompliance,Spain andsubsidiaries,"1,244"
Store staff,'Buenos dias'-Compliance,Serbia,85
Store staff,'Buenos dias'-Compliance,Slovakia,5
Store staff,'Buenos dias'-Compliance,Bulgaria,268
Store staff,'Buenos dias'-Compliance,Austria,267
Store staff,'Buenos dias'-Compliance,France,70
Store staff,'Buenos dias'-Compliance,Greece,"6,082"
Store staff,'Buenos dias'-Compliance,Turkey,558
Store staff,'Buenos dias'-Compliance,Ukraine,242
