GRIDisclosure Standard,GRIDisclosure Standard,GRIDisclosure Standard,GRIDisclosure Standard,GRIDisclosure Standard,GRIDisclosure Standard,GRIDisclosure Standard,GRIDisclosure Standard,GRIDisclosure Standard,GRIDisclosure Standard,GRIDisclosure Standard,"Page number(s), URL External Global CompactOmissions and/or direct answer Assurance principle","Page number(s), URL External Global CompactOmissions and/or direct answer Assurance principle","Page number(s), URL External Global CompactOmissions and/or direct answer Assurance principle","Page number(s), URL External Global CompactOmissions and/or direct answer Assurance principle",,
GRI 415: PUBLIC POLICY 2016,GRI 415: PUBLIC POLICY 2016,GRI 415: PUBLIC POLICY 2016,GRI 415: PUBLIC POLICY 2016,GRI 415: PUBLIC POLICY 2016,GRI 415: PUBLIC POLICY 2016,GRI 415: PUBLIC POLICY 2016,GRI 415: PUBLIC POLICY 2016,GRI 415: PUBLIC POLICY 2016,GRI 415: PUBLIC POLICY 2016,GRI 415: PUBLIC POLICY 2016,"Page number(s), URL External Global CompactOmissions and/or direct answer Assurance principle","Page number(s), URL External Global CompactOmissions and/or direct answer Assurance principle","Page number(s), URL External Global CompactOmissions and/or direct answer Assurance principle","Page number(s), URL External Global CompactOmissions and/or direct answer Assurance principle",,
,415-1 Political,415-1 Political,415-1 Political,415-1 Political,415-1 Political,415-1 Political,415-1 Political,415-1 Political,415-1 Political,415-1 Political,Inditex's Code of Conduct,,,Principle 10,,
,contributions,contributions,contributions,contributions,contributions,contributions,contributions,contributions,contributions,contributions,and Responsible Practices,,,Principle 10,,
,,,,,,,,,,,expressly stipulates that all,,,,,
,,,,,,,,,,,dealings between Inditex,,,Principle 10,,
,,,,,,,,,,,"and governments,",,,Principle 10,,
,,,,,,,,,,,"authorities,institutions and",,,Principle 10,,
,,,,,,,,,,,,,,Principle 10,political parties must be,
,,,,,,,,,,,framed by the principles of,,,Principle 10,,
,,,,,,,,,,,lawfulness and neutrality.,,,Principle 10,,
,,,,,,,,,,,Any contributions made by,,,Principle 10,,
,,,,,,,,,,,"the Company,whether in",,,Principle 10,,
,,,,,,,,,,,"cash or in-kind,to political",,,Principle 10,,
,,,,,,,,,,,"parties,institutions or public",,,Principle 10,,
,,,,,,,,,,,authorities must be made in,,,Principle 10,,
,,,,,,,,,,,,,,Principle 10,accordance with prevailing,
,,,,,,,,,,,,,,Principle 10,,
,,,,,,,,,,,,,,Principle 10,,
,,,,,,,,,,,,,,Principle 10,,legislation. So as to
,,,,,,,,,,,guarantee transparency in,,,Principle 10,,
,,,,,,,,,,,this respect they must bepreceded bya report fromthe legal advisorydepartment certifying theirabsolute lawfulness.,,,Principle 10,,
GRI 419: SOCIOECONOMIC COMPLIANCE 2016,GRI 419: SOCIOECONOMIC COMPLIANCE 2016,GRI 419: SOCIOECONOMIC COMPLIANCE 2016,GRI 419: SOCIOECONOMIC COMPLIANCE 2016,GRI 419: SOCIOECONOMIC COMPLIANCE 2016,GRI 419: SOCIOECONOMIC COMPLIANCE 2016,GRI 419: SOCIOECONOMIC COMPLIANCE 2016,GRI 419: SOCIOECONOMIC COMPLIANCE 2016,GRI 419: SOCIOECONOMIC COMPLIANCE 2016,GRI 419: SOCIOECONOMIC COMPLIANCE 2016,GRI 419: SOCIOECONOMIC COMPLIANCE 2016,GRI 419: SOCIOECONOMIC COMPLIANCE 2016,GRI 419: SOCIOECONOMIC COMPLIANCE 2016,GRI 419: SOCIOECONOMIC COMPLIANCE 2016,GRI 419: SOCIOECONOMIC COMPLIANCE 2016,,
,419-1 Non-compliancewith laws and regulations in the social and economicarea,419-1 Non-compliancewith laws and regulations in the social and economicarea,419-1 Non-compliancewith laws and regulations in the social and economicarea,419-1 Non-compliancewith laws and regulations in the social and economicarea,419-1 Non-compliancewith laws and regulations in the social and economicarea,419-1 Non-compliancewith laws and regulations in the social and economicarea,419-1 Non-compliancewith laws and regulations in the social and economicarea,419-1 Non-compliancewith laws and regulations in the social and economicarea,419-1 Non-compliancewith laws and regulations in the social and economicarea,419-1 Non-compliancewith laws and regulations in the social and economicarea,The Inditex Group did notreceive any significant finesfor non-compliance withlaws or regulationsapplicable to it through anyof the channels available tothat end in 2021.,,,Principle 10,,
OTHER DISCLOSURES: GRIEVANCE PROCEDURES,OTHER DISCLOSURES: GRIEVANCE PROCEDURES,OTHER DISCLOSURES: GRIEVANCE PROCEDURES,OTHER DISCLOSURES: GRIEVANCE PROCEDURES,OTHER DISCLOSURES: GRIEVANCE PROCEDURES,OTHER DISCLOSURES: GRIEVANCE PROCEDURES,OTHER DISCLOSURES: GRIEVANCE PROCEDURES,OTHER DISCLOSURES: GRIEVANCE PROCEDURES,OTHER DISCLOSURES: GRIEVANCE PROCEDURES,OTHER DISCLOSURES: GRIEVANCE PROCEDURES,OTHER DISCLOSURES: GRIEVANCE PROCEDURES,OTHER DISCLOSURES: GRIEVANCE PROCEDURES,,,,,
,"AF4 Policy andprocedures for receiving,investigating,andresponding to grievancesand complaints","AF4 Policy andprocedures for receiving,investigating,andresponding to grievancesand complaints","AF4 Policy andprocedures for receiving,investigating,andresponding to grievancesand complaints","AF4 Policy andprocedures for receiving,investigating,andresponding to grievancesand complaints","AF4 Policy andprocedures for receiving,investigating,andresponding to grievancesand complaints","AF4 Policy andprocedures for receiving,investigating,andresponding to grievancesand complaints","AF4 Policy andprocedures for receiving,investigating,andresponding to grievancesand complaints","AF4 Policy andprocedures for receiving,investigating,andresponding to grievancesand complaints","AF4 Policy andprocedures for receiving,investigating,andresponding to grievancesand complaints","AF4 Policy andprocedures for receiving,investigating,andresponding to grievancesand complaints",430-447,,,,,
