CRITICAL RISK MAP,CRITICAL RISK MAP,CRITICAL RISK MAP,CRITICAL RISK MAP,CRITICAL RISK MAP,CRITICAL RISK MAP
,Strong,High,Moderate,Minor,# Risks
Social,,,,,
"The category of social risks includes risks arising from socio-economictrends in societies,including the evolution of preferences,socialnorms,demographics,as well as the prevalence of diseases and thedevelopment of public healthcare systems.",25%,50%,25%,0%,4
Financial,,,,,
"Financial risks are threats originating in the macroeconomic sphere,in global value chains and in company- or industry-specific events thatmay prevent the proposed objectives from being achieved.",50%,0%,50%,0%,8
Geopolitical,,,,,
"Geopolitical risks arise from a deterioration in the political situation,asociety's crime levels,changes in the ideology,leadership andregulation of its authorities,politically motivated conflicts at home orbetween nation states that threaten operations or expected prospects.",66%,0%,34%,0%,3
Governance,,,,,
"Governance risks include a set of risks of a different nature.Theseinclude non-compliance by the Company,and in particular by its Boardof Directors and Senior Management,with: (i) the law in a formalmaterial sense; (ii) good governance guidelines; (ii) best practices; and(iv) the commitments that Inditex voluntarily undertakes as a business,as well as the risks resulting from the tactical and strategic decisions ofthe Group's management that may result in the non-fulfilment of thebusiness objectives,of the functional areas or of the Group,as wel asrisk of corruption or damage to the company's reputation.",58%,14%,14%,14%,7
Environmental,,,,,
"Environmental risks are risks associated with natural disasters,climatechange and the interactions resulting from human exploitation of theenvironment.",50%,0%,25%,25%,4
Technological,,,,,
"The technological risk category includes targeted cyber-attacks,collapse of critical infrastructure,industrial accidents with direct orindirect impacts,as well as the inability to adapt to technologicaladvances.",20%,60%,20%,0%,5
Total,45%,19%,29%,7%,31
