,2021 2020,,2019,2018
Australia,"1,763","1,501","1,636","1,504"
Bangladesh,71,62,59,57
Cambodia,4,4,6,4
Mainland China,"5,838","7,113 1169",,"11,680"
Hong KongSAR,627,558,"1,020","1,252"
MacaoSAR,75,105,170,181
"Taiwan,China",447,498,626,649
SouthKorea,"1,438","1,269","1,673","1,514"
India,"1,300","1,173","1,294","1,227"
Japan,"3,247","3,488","4,314","3,979"
Kazakhstan,989,746,779,723
Morocco,38,34,26,16
New Zealand,112,119,115,99
Pakistan,3,2,2,2
Singapore,4,4,4,4
South Africa,490,524,633,548
Vietnam,14,15,15,13
Total,"16,460 17,215 23,541 2,452",,,
