Africa,Americas,Asia,Europe outside the EU,European Union
No forced labour,,,,"Over 90%,Over 90%"
No work by youths or child labour (74),Over 90%,Over 90%,Over 90%,"Between 50% and 70%,Over 90%"
No discrimination,Over 90%,Over 90%,Over 90%,"Over 90%,Over 90%"
Respect for freedom of association and collective bargaining,Between 70% and 90%,Over 90%,Over 90%,"Over 90%,Over 90%"
No harsh or inhumane treatment,Over 90%,Over 90%,Over 90%,"Over 90%,Over 90%"
Hygiene at work,Between 50% and 70%,Between 50% and 70%,Between 50% and 70%,"Between 50% and 70%,Between 50% and 70%"
Wage compliance,Between 70% and 90%,Between 70% and 90%,Between 70% and 90%,"Between 50% and 70%,Between 70% and 90%"
Working hours,Between 70% and 90%,Over 90%,Between 50% and 70%,"Between 50% and 70%,Over 90%"
Environmental awareness,Over 90%,Over 90%,Over 90%,"Over 90%,Over 90%"
Regular work,Between 70% and 90%,Over 90%,Between 50% and 70%,"Between 50% and 70%,Between 70% and 90%"
Implementation of the Code. (75),Between 50% and 70%,Between 50% and 70%,Between 50% and 70%,"Between 50% and 70%,Between 50% and 70%"
