,2021,2020,2019,2018
Total contribution - Inditex,"6,093","4,689","6,749","6,166"
Own taxes,"2,423","1,916","3,040","2,764"
Taxes collected,"3,670","2,773","3,709","3,402"
Total contribution - Spain,"1,501","1,201","1,874","1,692"
Own taxes,780,620,"1,049",928
Taxes collected,721,581,825,764
Total contribution - Europe (ex-Spain),"3,217","2,562","3,398","3,168"
Own taxes,794,691,"1,023",988
Taxes collected,"2,423","1,871","2,375","2,180"
Total contribution - America,910,534,943,760
Own taxes,592,357,623,489
Taxes collected,318,177,320,271
Total contribution - Asia and rest of theworld,465,392,534,546
Own taxes,257,248,345,359
Taxes collected,208,144,189,187
