GRI Standard,Disclosure,Disclosure,Disclosure,Disclosure,"Page number(s), URL and/or direct answer","Page number(s), URL and/or direct answer","Page number(s), URL and/or direct answer",Omissions,Omissions,Omissions,ExternalAssurance,Global Compactprinciple,,,,,
,"403-4 Workerparticipation,consultation,and communication onoccupational health andsafety","403-4 Workerparticipation,consultation,and communication onoccupational health andsafety","403-4 Workerparticipation,consultation,and communication onoccupational health andsafety","403-4 Workerparticipation,consultation,and communication onoccupational health andsafety","261-262,258-262The committees in placerepresent all workers to thesame degree (managementand employees) and allagreements are endorsed bymanagement.All of the committees reach","261-262,258-262The committees in placerepresent all workers to thesame degree (managementand employees) and allagreements are endorsed bymanagement.All of the committees reach","261-262,258-262The committees in placerepresent all workers to thesame degree (managementand employees) and allagreements are endorsed bymanagement.All of the committees reach",,,,,,,,,,
,,,,,"261-262,258-262The committees in placerepresent all workers to thesame degree (managementand employees) and allagreements are endorsed bymanagement.All of the committees reach","261-262,258-262The committees in placerepresent all workers to thesame degree (managementand employees) and allagreements are endorsed bymanagement.All of the committees reach","261-262,258-262The committees in placerepresent all workers to thesame degree (managementand employees) and allagreements are endorsed bymanagement.All of the committees reach",,,,,,,,,,
,,,,,,,,,,,agreements related with,agreements related with,agreements related with,,,,
,,,,,worker health and safety.,worker health and safety.,worker health and safety.,,,,,,,,,,
,,,,,"During the reporting period,","During the reporting period,","During the reporting period,",,,,,,,,,,
,,,,,"During the reporting period,","During the reporting period,","During the reporting period,",,,,,,,,,,
,,,,,Inditex had agreements in,Inditex had agreements in,Inditex had agreements in,,,,,,,,,,
,,,,,,effect with unions at the localand international levels,effect with unions at the localand international levels,effect with unions at the localand international levels,,,,,,,,,
,,,,,"and international levelswhich address aspects suchas personal protection gear,regular inspections,skillstraining and education andgrievance mechanisms,among others.","and international levelswhich address aspects suchas personal protection gear,regular inspections,skillstraining and education andgrievance mechanisms,among others.","and international levelswhich address aspects suchas personal protection gear,regular inspections,skillstraining and education andgrievance mechanisms,among others.",effect with unions at the localand international levels,,,,,,,,,
,,,,,"and international levelswhich address aspects suchas personal protection gear,regular inspections,skillstraining and education andgrievance mechanisms,among others.","and international levelswhich address aspects suchas personal protection gear,regular inspections,skillstraining and education andgrievance mechanisms,among others.","and international levelswhich address aspects suchas personal protection gear,regular inspections,skillstraining and education andgrievance mechanisms,among others.",Idressas,,,,,,,,,
,,,,,"and international levelswhich address aspects suchas personal protection gear,regular inspections,skillstraining and education andgrievance mechanisms,among others.","and international levelswhich address aspects suchas personal protection gear,regular inspections,skillstraining and education andgrievance mechanisms,among others.","and international levelswhich address aspects suchas personal protection gear,regular inspections,skillstraining and education andgrievance mechanisms,among others.",,,,,,,,,,
,403-5 Worker training onoccupational health andsafety,403-5 Worker training onoccupational health andsafety,403-5 Worker training onoccupational health andsafety,403-5 Worker training onoccupational health andsafety,"261-262,258-262","261-262,258-262","261-262,258-262",,,,,,,,,,
,403-6 Promotion ofworker health,403-6 Promotion ofworker health,403-6 Promotion ofworker health,403-6 Promotion ofworker health,"261,263-264,274","261,263-264,274","261,263-264,274",,,,,,,,,,
,403-7 Prevention andmitigation of occupationalhealth and safety impactsdirectly linked by businessrelationships,403-7 Prevention andmitigation of occupationalhealth and safety impactsdirectly linked by businessrelationships,403-7 Prevention andmitigation of occupationalhealth and safety impactsdirectly linked by businessrelationships,403-7 Prevention andmitigation of occupationalhealth and safety impactsdirectly linked by businessrelationships,"261,263-264,274","261,263-264,274","261,263-264,274",,,,,,,,,,
,403-8 Workers covered byan occupational health andsafety managementsystem,403-8 Workers covered byan occupational health andsafety managementsystem,403-8 Workers covered byan occupational health andsafety managementsystem,403-8 Workers covered byan occupational health andsafety managementsystem,"261,264-273","261,264-273","261,264-273",,,,,,,,,,
