"Entity, S.A.",Location,Full Consol.,31-jan,2020,Format
tsv,,,,,
"Industria de Diseño Textil, S.A.",Parent,A Coruña - Spain,Full Consol.,31-jan,-
"Comditel, S.A.",100.00%,Barcelona - Spain,Full Consol.,31-jan,"Zara,Buyer"
"Zara Asia, Ltd.",100.00%,Hong Kong SAR,Full Consol.,31-jan,"Zara,Retail sales"
"Choiolet, S.A.",100.00%,A Coruña - Spain,Full Consol.,31-jan,"Zara,Textile"
"Confecciones Fios, S.A.",100.00%,A Coruña - Spain,Full Consol.,31-jan,"Zara,Textile"
"Confecciones Goa, S.A.",100.00%,A Coruña - Spain,Full Consol.,31-jan,"Zara,Textile"
"Denllo, S.A.",100.00%,A Coruña - Spain,Full Consol.,31-jan,"Zara,Textile"
"Hampton, S.A.",100.00%,A Coruña - Spain,Full Consol.,31-jan,"Zara,Textile"
"Nikole, S.A.",100.00%,A Coruña - Spain,Full Consol.,31-jan,"Zara,Buyer"
"Stear, S.A.",100.00%,A Coruña - Spain,Full Consol.,31-jan,"Zara,Textile"
"Trisko, S.A.",100.00%,A Coruña - Spain,Full Consol.,31-jan,"Zara,Textile"
"Zintura, S.A.",100.00%,A Coruña - Spain,Full Consol.,31-jan,"Zara,Textile"
"Glencare, S.A.",100.00%,A Coruña - Spain,Full Consol.,31-jan,"Zara,Textile"
"Indipunt, S.L.",100.00%,A Coruña - Spain,Full Consol.,31-jan,"Multi-concept,Logistics"
"Zara España, S.A.",100.00%,A Coruña - Spain,Full Consol.,31-jan,"Zara,Retail sales"
"Zara Argentina, S.A.",100.00%,Buenos Aires - Argentina,Full Consol.,31-jan,"Zara,Retail sales"
"Zara Brasil, S.A.",100.00%,Belo Horizonte - Brazil,Full Consol.,31-jan,"Zara,Retail sales"
"Indipunt, S.L.",A Coruña - Spain,Full Consol.,Multi-concept,Logistics,
"Zara España, S.A.",A Coruña - Spain,Full Consol.,Zara,Retail sales,
"Zara Argentina, S.A.",Buenos Aires - Argentina,Full Consol.,Zara,Retail sales,
"Zara Belgique, S.A.",Brussels - Belgium,Full Consol.,Zara,Retail sales,
"Zara Chile, S.A.",Santiago de Chile - Chile,Full Consol.,Zara,Retail sales,
"Zara USA, Inc.",New York - USA,Full Consol.,Zara,Retail sales,
"Zara France, S.A.R.L.",Paris - France,Full Consol.,Zara,Retail sales,
ITX UK LTD.,London - UK,Full Consol.,Zara,Multi-concept,Retail sales
"Zara Mexico, B.V.",Amsterdam - Netherlands,Full Consol.,Zara,Holding company,
ITX HELLAS SINGLE MEMBER S.A.,Athens - Greece,Full Consol.,Multi-concept,Retail sales,
"Zara México, S.A. de C.V.",Mexico City - Mexico,Full Consol.,Zara,Retail sales,
"ITX PORTUGAL - CONFECÇÕES, S.A.",Lisbon - Portugal,Full Consol.,Multi-concept,Retail sales,
"G.Zara Uruguay, S.A.",Montevideo - Uruguay,Full Consol.,Zara,Retail sales,
"Zara Brasil, LTDA.",Sao Paulo - Brazil,Full Consol.,Zara,Retail sales,
ITX NEDERLAND BV,Amsterdam - Netherlands,Full Consol.,Zara,Multi-concept,Retail sales
"Zara Österreich Clothing, GmbH",Vienna - Austria,Full Consol.,Zara,Retail sales,
"Inditex Danmark, AS.",Copenhagen - Denmark,Full Consol.,Multi-concept,Retail sales,
ITX SVERIGE AB,Stockholm - Sweden,Full Consol.,Multi-concept,Retail sales,
Company Name                % Ownership    Location        Ownership Type    Reporting Date    Brand    Sales Type,,,,,
ITX NEDERLAND BV            100.00%        Amsterdam - Netherlands    Full Consol.    31-jan        Multi-concept    Retail sales,,,,,
Zara Österreich Clothing,GmbH 100.00%        Vienna - Austria    Full Consol.    31-jan        Multi-concept    Retail sales,,,,
Inditex Danmark,AS.        100.00%        Copenhagen - Denmark    Full Consol.    31-jan        Multi-concept    Retail sales,,,,
ITX SVERIGE AB              100.00%        Stockholm - Sweden    Full Consol.    31-jan        Multi-concept    Retail sales,,,,,
Inditex Norge,AS.          100.00%        Oslo - Norway        Full Consol.    31-jan        Multi-concept    Retail sales,,,,
ITX CANADA,LTD             100.00%        Montreal - Canada    Full Consol.    31-jan        Multi-concept    Retail sales,,,,
Zara Suisse,S.A.R.L.       100.00%        Fribourg - Switzerland    Full Consol.    31-jan        Zara          Retail sales,,,,
Za Giyim Ithalat Ihracat Ve Ticaret Ltd. 100.00%        Istanbul - Turkey    Full Consol.    31-jan        Zara          Retail sales,,,,,
ITX ITALIA SRL              100.00%        Milan - Italy        Full Consol.    31-jan        Multi-concept    Retail sales,,,,,
ITX Japan Corp.             100.00%        Tokyo - Japan        Full Consol.    31-jan        Multi-concept    Retail sales,,,,,
INDITEX ČESKÁ REPUBLIKA,S.R.O. 100.00%        Prague - Czech Republic    Full Consol.    31-jan        Multi-concept    Retail sales,,,,
Zara Puerto Rico,Inc.      100.00%        San Juan - Puerto Rico    Full Consol.    31-jan        Zara          Retail sales,,,,
ITX RETAIL IRELAND LIMITED  100.00%        Dublin - Ireland    Full Consol.    31-jan        Multi-concept    Retail sales,,,,,
Zara Magyarorszag,KFT.     100.00%        Budapest - Hungary    Full Consol.    31-jan        Zara          Retail sales,,,,
Zara Holding,B.V.           100.00%        Amsterdam - Netherlands    Full Consol.    31-jan        Multi-concept    Holding company,,,,
Zara Monaco,SAM            100.00%        Monte Carlo - Monaco    Full Consol.    31-jan        Zara          Retail sales,,,,
Zara Commercial (Shanghai),Co Ltd. 100.00%        Shanghai - China    Full Consol.    31-dec        Zara          Retail sales,,,,
Zara Commercial (Beijing),Co Ltd. 100.00%        Beijing - China    Full Consol.    31-dec        Zara          Retail sales,,,,
Zara Macau,Ltd.            100.00%        Macao SAR            Full Consol.    31-dec        Zara          Retail sales,,,,
Company Name                Ownership    Location        Consolidation Date    Parent Company    Business Type,,,,,
Zara Monaco,SAM            100.00%      Monte Carlo - Monaco 31-jan              Zara              Retail sales,,,,
