(Amounts in millions of euros),(Notes),2021,2020
Net profit,,"3,250","1,104"
Items that willbe reclassified to profit or loss in future years,,,
Other comprehensive income recognised directly in equity:,,,
Translation differences related to financial statements of foreign operations,,122,(393)
Cash flow hedges,,,
Profit,(25),6,·
Loss,(25),：,（3)
Tax effect,,(1),-
TOTAL,,127,(396)
Transfers to profit or loss:,,,
Cash flow hedges,,,
Profit,(25),：,(1)
Loss,(25),3,6
Tax effect,,-,(1)
TOTAL,,3,4
Total comprehensive income for the year,,"3,380",713
Total comprehensive income attributable to:,,,
Equity holders of the Parent,,"3,373",714
Non-controling interests,,7,（2）
Total comprehensive income for the year,,"3,380",713
