Board of Directors,Audit andComplianceCommittee,NominationCommittee,RemunerationCommittee,SustainabilityCommittee
Executive Chairman:Mr Pablo Isla Alvarez deTejera,,,,
Deputy Chairman:Mr José Arnau Sierra,Member,Member,Member,Member
Chief Executive Officer:Mr Oscar Garcia Maceiras,,,,
Members:,,,,
Mr Amancio Ortega Gaona,,,,
"PONTEGADEAINVERSIONES, S.L.(represented by FloraPérez Marcote)",,,,
Bns.Denise PatriciaKingsmill,Member,Member,Member,Chair
Ms Anne Lange,Member,Member,,Member
Ms Pilar López Alvarez,Chair,Member,,Member
Mr José Luis Duran Schulz,Member,1,Member,Member
Mr Rodrigo EcheniqueGordillo,Member,Member,Chair,
Mr Emilio SarachoRodriguez de Torres,Member,Chair,Member,
Secretary of the Board:Mr Javier Monteoliva Diaz,"Secretary, non-member","Secretary, non-member","Secretary, non-member","Secretary, non-member"
