Name or companyname of director,Representative,Directorshiptype,Position on the board,Date first appointed to the board,Date of last appointment,Election procedure
Mr Pablo IslaAlvarez de Tejera,,Executive,ExecutiveChairman,09/06/2005,16/07/2019,AGM
Mr Oscar GarciaMaceiras Gonzalez,,Executive,CEO,29/11/2021,29/11/2021,Board ofDirectorsCo-option
Mr AmancioOrtega Gaona,,Proprietary,Ordinarymember,12/06/1985,16/07/2019,AGM
Mr José ArnauSierra,,Proprietary,DeputyChairman,12/06/2012,13/07/2021,AGM
"PONTEGADEAINVERSIONES, S.L.",Flora PerezMarcote,Proprietary,Ordinarymember,09/12/2015,14/07/2020,AGM
Bns DenisePatricia Kingsmill,,Independent,Ordinarymember,19/07/2016,14/07/2020,AGM
Ms Anne Lange,,Independent,Ordinarymember,10/12/2019,14/07/2020,AGM
Ms Pilar LópezAlvarez,,Independent,Ordinarymember,17/07/2018,17/07/2018,AGM
Mr José Luis DuranSchulz,,Independent,Ordinarymember,14/07/2015,16/07/2019,AGM
Mr RodrigoEchenique Gordillo,,Independent,LeadIndependentDirector,15/07/2014,17/07/2018,AGM
Mr Emilio SarachoRodriguez deTorres,,Independent,Ordinarymember,13/07/2010,16/07/2019,AGM
