Pontegadea Dieciocho S.L,"Sole Director, legalrepresentative ofPontegadea Inversiones S.L",Unpaid
"Sobrado Forestal 2014,S.L",Sole Director,Unpaid
"Pontegadea France,SAS","Chair, legal representativeof Pontegadea InmobiliariaSLU",Unpaid
"Prima Cinque, S.p.a.",Chair,Unpaid
PG Real Estate Interests Ltd,Ordinary member,Unpaid
"Pontegadea Inmobiliaria,SA deCV",Chair,Unpaid
"Pontegadea Canada,Inc",Chair,Unpaid
"Pontegadea Korea, Inc",Ordinary member,Unpaid
"Ponte Gadea USA,INC",Chair,Unpaid
"Hills Place, Sarl",Ordinary member,Unpaid
"Pontegadea UK, Ltd",Ordinary member,Unpaid
Almack Ltd,Ordinary member,Unpaid
"Ponte Gadea Portugal -Investimentos Imobiliarios eHoteleiros, S.A.","Chair,appointed by Partler2006 SL",Unpaid
"Pontegadea Amoreiras-Sociedade Imobiliaria, S.A.","Chair,appointed by Partler2006 SL",Unpaid
"Proherre Internacional-Sociedade Imobiliaria, Lda",Joint and Several Director,Unpaid
"Pontegadea Real Estate, SAS","Chair, legal representativeof Pontegadea InmobiliarioSLU",Unpaid
"Montaigne Real Estate, SAS",Sole Director,Unpaid
Adelphi Property SARL,Ordinary member,Unpaid
"Fongadea Recoletos 7-9, S.L.",Chair,Unpaid
