305-1 Direct (Scope 1)GHG emissions,305-1 Direct (Scope 1)GHG emissions,305-1 Direct (Scope 1)GHG emissions,305-1 Direct (Scope 1)GHG emissions,305-1 Direct (Scope 1)GHG emissions,"380-381,518-521","380-381,518-521",,√Pg.143-145,Principles 7and8,,,
305-2 Energy indirect(Scope 2) GHG emissions,305-2 Energy indirect(Scope 2) GHG emissions,305-2 Energy indirect(Scope 2) GHG emissions,305-2 Energy indirect(Scope 2) GHG emissions,305-2 Energy indirect(Scope 2) GHG emissions,"380-381,518-521","380-381,518-521",,√Pg.143-145,Principles7and8,,,
305-3 Other indirect(Scope 3) GHG emissions,305-3 Other indirect(Scope 3) GHG emissions,305-3 Other indirect(Scope 3) GHG emissions,305-3 Other indirect(Scope 3) GHG emissions,305-3 Other indirect(Scope 3) GHG emissions,380-381,380-381,,√Pg.143-145,Principles7and8,,,
305-4 GHG emissionsintensity,305-4 GHG emissionsintensity,305-4 GHG emissionsintensity,305-4 GHG emissionsintensity,305-4 GHG emissionsintensity,"380-381,518-521","380-381,518-521",,,Principle8,,,
305-5 Reduction of GHGemissions,305-5 Reduction of GHGemissions,305-5 Reduction of GHGemissions,305-5 Reduction of GHGemissions,305-5 Reduction of GHGemissions,"377-378,518-521","377-378,518-521",,√Pg.143-145,Principles8and9,,,
305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),"334,383-384There are plans in place toreplace air conditioningunits in existing stores withmore efficient Class A unitsin order to ensure the non-emission of ozone-depletingsubstances.In addition,thanks to the ecoefficiencymeasures deployed acrossthe Group's owned stores,","334,383-384There are plans in place toreplace air conditioningunits in existing stores withmore efficient Class A unitsin order to ensure the non-emission of ozone-depletingsubstances.In addition,thanks to the ecoefficiencymeasures deployed acrossthe Group's owned stores,",,,,,,
305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),"334,383-384There are plans in place toreplace air conditioningunits in existing stores withmore efficient Class A unitsin order to ensure the non-emission of ozone-depletingsubstances.In addition,thanks to the ecoefficiencymeasures deployed acrossthe Group's owned stores,","334,383-384There are plans in place toreplace air conditioningunits in existing stores withmore efficient Class A unitsin order to ensure the non-emission of ozone-depletingsubstances.In addition,thanks to the ecoefficiencymeasures deployed acrossthe Group's owned stores,",,,,ozone-dep,,
305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),"334,383-384There are plans in place toreplace air conditioningunits in existing stores withmore efficient Class A unitsin order to ensure the non-emission of ozone-depletingsubstances.In addition,thanks to the ecoefficiencymeasures deployed acrossthe Group's owned stores,","334,383-384There are plans in place toreplace air conditioningunits in existing stores withmore efficient Class A unitsin order to ensure the non-emission of ozone-depletingsubstances.In addition,thanks to the ecoefficiencymeasures deployed acrossthe Group's owned stores,",,,,,,
305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),"334,383-384There are plans in place toreplace air conditioningunits in existing stores withmore efficient Class A unitsin order to ensure the non-emission of ozone-depletingsubstances.In addition,thanks to the ecoefficiencymeasures deployed acrossthe Group's owned stores,","334,383-384There are plans in place toreplace air conditioningunits in existing stores withmore efficient Class A unitsin order to ensure the non-emission of ozone-depletingsubstances.In addition,thanks to the ecoefficiencymeasures deployed acrossthe Group's owned stores,",,,,,,
305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),"334,383-384There are plans in place toreplace air conditioningunits in existing stores withmore efficient Class A unitsin order to ensure the non-emission of ozone-depletingsubstances.In addition,thanks to the ecoefficiencymeasures deployed acrossthe Group's owned stores,","334,383-384There are plans in place toreplace air conditioningunits in existing stores withmore efficient Class A unitsin order to ensure the non-emission of ozone-depletingsubstances.In addition,thanks to the ecoefficiencymeasures deployed acrossthe Group's owned stores,",,,,,,
305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),305-6 Emissions ofozone-depletingsubstances (ODS),"334,383-384There are plans in place toreplace air conditioningunits in existing stores withmore efficient Class A unitsin order to ensure the non-emission of ozone-depletingsubstances.In addition,thanks to the ecoefficiencymeasures deployed acrossthe Group's owned stores,","334,383-384There are plans in place toreplace air conditioningunits in existing stores withmore efficient Class A unitsin order to ensure the non-emission of ozone-depletingsubstances.In addition,thanks to the ecoefficiencymeasures deployed acrossthe Group's owned stores,",,,,,,
