Remuneration accrued in the company,Remuneration accrued in the company,Remuneration accrued in the company,Remuneration accrued in the company,Remuneration accrued in the company,Remuneration accrued in group companies,Remuneration accrued in group companies,Remuneration accrued in group companies,Remuneration accrued in group companies,Remuneration accrued in group companies,
Name,Total cashremuneration,EBITDA ofvested shares orfinancialinstruments,Remunerationby way ofsavingssystems,Other itemsofremuneration,TotalFY2021company,Total cashremuneration,Gross profitof vestedshares orfinancialinstruments,Remunerationby way ofsavingssystems,Other itemsofremuneration,TotalFY2021group
Mr PABLO ISLA ALVAREZ DETEJERA,"9,985","2,458",,,"12,443",,,,,"12,443"
Mr CARLOS CRESPOGONZALEZ134,"4,229","1,534",,,"5,763",,,,,"5,763"
Mr OSCAR GARCIAMACEIRAS135,712,34,,,746,,,,,746
Mr AMANCIO ORTEGA GAONA,100,,,,100,,,,,100
Mr JOSE ARNAU SIERRA,380,,,,380,,,,,380
"PONTEGADEA INVERSIONES,S.L. (REPRESENTED BY MS.FLORA PEREZ MARCOTE)",100,,,,100,,,,,100
BNS.DENISE PATRICIAKINGSMILL,300,,,,300,,,,,300
Mr JOSE LUIS DURAN SCHULZ,250,,,,250,,,,,250
Mr RODRIGO ECHENIQUEGORDILLO,300,,,,300,,,,,300
Ms PILAR LOPEZ ALVAREZ,300,,,,300,,,,,300
Mr EMILIO SARACHORODRIGUEZ DE TORRES,300,,,,300,,,,,300
Ms ANNE LANGE,250,,,,250,,,,,250
TOTAL,17.206,"4,026",,,"21,232",,,,,"21,232"
