Index of the contents required by ACT11/2018120,Index of the contents required by ACT11/2018120,Index of the contents required by ACT11/2018120,Index of the contents required by ACT11/2018120
Reporting criteria:GRIInformation requested by Act SNFI page where Materiality (2016 version11/2018 response is givenunless otherwiseindicated),Reporting criteria:GRIInformation requested by Act SNFI page where Materiality (2016 version11/2018 response is givenunless otherwiseindicated),Reporting criteria:GRIInformation requested by Act SNFI page where Materiality (2016 version11/2018 response is givenunless otherwiseindicated),Reporting criteria:GRIInformation requested by Act SNFI page where Materiality (2016 version11/2018 response is givenunless otherwiseindicated)
GENERAL INFORMATION,GENERAL INFORMATION,GENERAL INFORMATION,GENERAL INFORMATION
"A brief description of thebusiness model that includesits business environment, itsorganisation and structure",Material,"156-161,165-172,174-180",GRI 102-2GRI 102-7
Markets in which it operates,Material,"154,174-180",GRI102-3GRI 102-4GRI 102-6
Organisation's objectives andstrategies,Material,"148-149,151-152,174-187,190-191,196,287,345,456-457",GRI 103-2GRI 102-14
Main factors and trends that mayaffect its future development,Material,"148-149,151-152,174-187,261-262,274,468",GRI 102-14GRI102-15
Reporting framework used,Material,532-536,GRI 102-54
Materiality principle,Material,223-227,GRI 102-46GRI 102-47
ENVIRONMENTAL ISSUES,ENVIRONMENTAL ISSUES,ENVIRONMENTAL ISSUES,ENVIRONMENTAL ISSUES
"Management approach:description and results of policies relating to these issues,as well as the main risks related to these issues related to the group's activities",Material,"174-190, 285-293,305-307,320-330",GRI 102-15GRI103-2
Detailed general information,Detailed general information,Detailed general information,Detailed general information
"Detailed information on thecurrent and foreseeable effectsof the company's activities onthe environment and,whereapplicable,health and safety",Material,"377-378,387,391-394",GRI 102-15
Environmental assessment orcertification procedures,Material,"305-307,377-386",GRI 103-2
Resources dedicated to theprevention of environmental risks,Material,382-386,GRI103-2
Application of the principle ofprecaution,Material,"371-374, 377-394",GRI 102-11
Amount of provisions andguarantees for environmentalrisks,Material,"371-374, 377-394",GRI103-2
Pollution,Pollution,Pollution,Pollution
"Measures to prevent, mitigateor repair emissions whichseverely affect theenvironment; taking intoaccount any form ofatmospheric pollution specific to an activity,",Material,"372-373,380-381",GRI 103-2GRI 305-7
including noise and lightpollution,Non-material,223-227,Not applicable
Circular economy and waste prevention and management,Circular economy and waste prevention and management,Circular economy and waste prevention and management,Circular economy and waste prevention and management
"Prevention,recycling and reusemeasures,and other forms ofrecovery and disposal of waste",Material,"287-302,313-314,395-397","GRI 103-2GRI 301-3 withregard to recovered packaging productsfor reuse andrecyclingGRI 306-1 to 306-2(2020)GRI306-3 withregard to waste generated at theheadquarters,logistics centres andown factoriesGRI 306-4 to 306-5(2020)"
Actions to fight against foodwaste,Non-material,223-227,Not applicable
Sustainable use of resources,Sustainable use of resources,Sustainable use of resources,Sustainable use of resources
Water consumption and watersupply according to locallimitations,Material,"294-297,388",GRI 303-1 to 303-3 (2018)GRI303-5 (2018)with regard to totalwater consumptionfrom own sources
Consumption of raw materialsand measures taken to improvethe efficiency of their use,Material,"294-307,395-397","GRI 301-1 to 301-3AF18,AF20"
Direct and indirect energyconsumption,Material,"378-380,382-384",GRI302-1GRI302-3
Measures taken to improveenergy efficiency,Material,"182-187,190,377-380,382-386,489-490",GRI 103-2GRI 201-2
Use of renewable energies,Material,"378-380,382,384",GRI302-1AF21
Climate change,Climate change,Climate change,Climate change
"Greenhouse gas emissionsgenerated as a result of thecompany's activities,includingthe use of the goods andservices it produces",Material,"379-381, 518-521",GRI305-1GRI305-2GRI305-3GRI305-4
Measures taken to adapt to theconsequences of climatechange,Material,"81-186,190,196-297,371-377,489-490",GRI103-2GRI 201-2
Voluntary reduction targets setfor the medium and long termto reduce greenhouse gasemissions and the meansimplemented for this purpose,Material,"377-386,518-521",GRI103-2GRI305-5
Biodiversity protection,Biodiversity protection,Biodiversity protection,Biodiversity protection
Measures taken to preserve orrestore biodiversity,Material,"375-377,391-394",GRI103-2GRI 304-3 withregard to measurestaken to preservebiodiversity
Impacts caused by theactivities or operations inprotected areas,Material,"325-326,375-377,382,388,391-394",GRI103-2GRI304-1GRI 304-2
SOCIAL ISSUES CONCERNING STAFF,SOCIAL ISSUES CONCERNING STAFF,SOCIAL ISSUES CONCERNING STAFF,SOCIAL ISSUES CONCERNING STAFF
"Management approach:description and results of policies relating to these issues, as well as the main risks relatedto these issues related to the group's activities",Material,229-274,GRI 102-15GRI 103-2
Employment,Employment,Employment,Employment
"Total number and distributionof employees by country, gender,age and occupationalclassification",Material,229-231,GRI 102-8GRI 405-1
"Total number and distributionof employment contractmodalities and annual averageof permanent contracts,temporary contracts and part-time contracts by gender,ageand occupational classification",Material,"251-253,462",GRI 102-8
"Number of dismissals bygender,age and occupationalclassification",Material,253-254,GRI 103-2GRI 401-1
"Average salaries and theirevolution broken down bygender,age and occupationalclassification or equal value",Material,259-260,GRI 103-2
"Wage gap,equal or averageremuneration of jobs in society",Material,258-259,"GRI 103-2GRI 405-2 withregard to theremuneration ofwomen comparedto men by gender,age andoccupationalclassification"
"Average remuneration ofdirectors and officers,includingvariable remuneration,allowances,indemnities, payment to long-term savings pension schemes and any other payment broken down bygender",Material,"453,456",GRI 103-2
Implementation of policies todisconnect from work,Material,241-242,GRI 103-2
Number of employees withdisabilities,Material,237-238,GRI 103-2GRI 405-1
Organisation of work,Organisation of work,Organisation of work,Organisation of work
Organisation of working hours,Material,256-257,GRI 103-2
Number of hours ofabsenteeism,Material,270,GRI 103-2GRI 403-9 withregard toabsenteeism hours
Measures designed to facilitatethe enjoyment of amicable settlement and to promote thecorresponding exercise of theseby both parents,Material,240-242,GRI 103-2GRI 401-3 withregard toinformationrelating to InditexSpain
Health and safety,Health and safety,Health and safety,Health and safety
Occupational health and safetyconditions,Material,"261-264,274,358-359,360-362",GRI 103-2GRI 403-1 to 403-8 (2018)
"Work-related accidents,in particular their frequency andseverity,as well asoccupational diseases; brokendown by gender",Material,264-270,GRI 403-9 (2018)with regard tooccupationalaccident injuriesGRI 403-10 (2018)with regard towork-related illhealth
Labour Relations,Labour Relations,Labour Relations,Labour Relations
"Organisation of social dialogueincluding procedures forinforming,consulting andnegotiating with staff",Material,254-256,GRI 103-2
Percentage of employeescovered bya collectivebargaining agreement bycountry,Material,256,GRI 102-41
"Assessment of collectivebargaining agreements,particularly in the field of healthand safety at work",Material,254-256,GRI 103-2GRI 403-4 (2018)
Training,Training,Training,Training
Policies implemented in thefield of training,Material,245-249,GRI 404-2
Total number of training hoursby occupational category,Material,246,GRI 103-2GRI 404-1
Universal accessibility,Universal accessibility,Universal accessibility,Universal accessibility
Universal accessibility forpeople with disabilities,Material,236-238,GRI 103-2
Equality,Equality,Equality,Equality
Measures taken to promoteequal treatment and equalopportunities between womenand men,Material,"232-240,358-359",GRI 103-2
"Equality plans,measures takento promote employment,protocols against sexual andgender-based harassment",Material,232-240,GRI 103-2
"Policy against all types ofdiscrimination and,whereapplicable,diversitymanagement",Material,232-240,GRI 103-2
RESPECT FOR HUMAN RIGHTS,RESPECT FOR HUMAN RIGHTS,RESPECT FOR HUMAN RIGHTS,RESPECT FOR HUMAN RIGHTS
"Management approach:description and results ofpolicies relating to these issues,as well as the main risks relatedto these issues related to thegroup's activities",Material,"191-195,345-369,433-434",GRI 102-15GRI 103-2
Application of due diligence procedures,Application of due diligence procedures,Application of due diligence procedures,Application of due diligence procedures
"Application of due diligenceprocedures in the field ofhuman rights and prevention ofthe risks of human rightsviolations and,whereapplicable,measures tomitigate,manage and repairpotential abuses committed",Material,"191-195,351-352,360,367-369","GRI 102-16GRI 102-17GRI 412-1,412-3AF16"
Allegations of cases of humanrights violations,Material,570,"GRI 103-2GRI 406-1AF12,AF13, AF14,AF16"
Measures implemented to promote and comply with theprovisions of the ILO fundamentalconventions relating to respect forfreedom of association and theright tocollective bargaining;Eliminating discrimination inemployment and occupation; Theelimination of forced orcompulsory labour; The effectiveabolition of child labour,Material,"194-195,254-257,352-357,365-369,427-429,573, 575",GRI 103-2GRI 407-1GRI 408-1GRI 409-1
