"GRI Disclosure Page number(s), URL Omissions Standard and/or direct answer","GRI Disclosure Page number(s), URL Omissions Standard and/or direct answer","GRI Disclosure Page number(s), URL Omissions Standard and/or direct answer","GRI Disclosure Page number(s), URL Omissions Standard and/or direct answer","GRI Disclosure Page number(s), URL Omissions Standard and/or direct answer","GRI Disclosure Page number(s), URL Omissions Standard and/or direct answer","GRI Disclosure Page number(s), URL Omissions Standard and/or direct answer",ExternalAssurance,Global Compactprinciple,
,403-9 Work-related,"261,264-273","261,264-273","261,264-273","261,264-273",The Company's,,,
,injuries,,,,,systems are not,,,
,injuries,,,,,currently capable,,,
,injuries,,,,,of producing,,,
,injuries,,,,,disclosures about,,,
,injuries,,,,,work-related,,,
,injuries,,,,,injuries outside,,,
,injuries,,,,,Spain with the,√Pg.143-145,,
,injuries,,,,,level of detail,√Pg.143-145,,
,injuries,,,,,,,,required. Inditex is
,injuries,,,,,,,,working to upgrade
,injuries,,,,,,,its systems with a,
,injuries,,view to reporting,,,,,,
,injuries,,,,,,,"that information inthe Non-FinancialInformation Statement 2022,tobe published in2023.Information aboutworkers notemployed in theworkplacescontrolled by theGroup is notavailable in theCompany'ssystems with thelevel of detailrequired. Inditex isworking to upgrade its systems with a view to reportingthat information.",
,injuries,,,,,,,,
,injuries,,,,,,,,
,injuries,,,,,,,"that information inthe Non-FinancialInformation Statement 2022,tobe published in2023.Information aboutworkers notemployed in theworkplacescontrolled by theGroup is notavailable in theCompany'ssystems with thelevel of detailrequired. Inditex isworking to upgrade its systems with a view to reportingthat information.",
,403-10 Work-related illhealth,"261,264,266-267,269","261,264,266-267,269","261,264,266-267,269","261,264,266-267,269",Information aboutworkers notemployed in theworkplacescontrolled by theGroup is notavailable in theCompany's systems with thelevel of detailrequired. Inditex isworking to upgrade its systems with a view to reportingthat information.,√Pg.143-145,"that information inthe Non-FinancialInformation Statement 2022,tobe published in2023.Information aboutworkers notemployed in theworkplacescontrolled by theGroup is notavailable in theCompany'ssystems with thelevel of detailrequired. Inditex isworking to upgrade its systems with a view to reportingthat information.",
