Name or company name of related director or representative,Name or company name of related significant shareholder,Company name of the group company of the significant shareholder,Description of relationship/position
Mr Amancio Ortega Gaona,"PONTEGADEA INVERSIONES, S.L.","PONTEGADEA INVERSIONES, S.L.",Chair of the Board
Mr Amancio Ortega Gaona,"PONTEGADEA INVERSIONES, S.L.","PONTEGADEA INMOBILIARIA, S.L.U.",Chair of the Board
Mr Amancio Ortega Gaona,"PONTEGADEA INVERSIONES, S.L.","PONTEGADEA GB 2020, S.L.",Chair of the Board
Mr Amancio Ortega Gaona,"PARTLER 2006, S.L.","PARTLER 2006, S.L.",Chair of the Board
Mr Amancio Ortega Gaona,"PARTLER 2006, S.L.","PARTLER PARTICIPACIONES, S.L.U.",Chair of the Board
"Mrs Flora Pérez Marcote (Legal representative of PONTEGADEA INVERSIONES, S.L.)","PONTEGADEA INVERSIONES, S.L.","PONTEGADEA INVERSIONES, S.L.",1st Deputy Chair
"Mrs Flora Pérez Marcote (Legal representative of PONTEGADEA INVERSIONES, S.L.)","PONTEGADEA INVERSIONES, S.L.","PONTEGADEA INMOBILIARIA, S.L.U.",1st Deputy Chair
"Mrs Flora Pérez Marcote (Legal representative of PONTEGADEA INVERSIONES, S.L.)","PONTEGADEA INVERSIONES, S.L.","PONTEGADEA GB 2020, S.L.",1st Deputy Chair
Mr José Arnau Sierra,"PONTEGADEA INVERSIONES, S.L.","PONTEGADEA INVERSIONES, S.L.",2nd Deputy Chair
Mr José Arnau Sierra,"PONTEGADEA INVERSIONES, S.L.","PONTEGADEA INMOBILIARIA, S.L.U.",2nd Deputy Chair
Mr José Arnau Sierra,"PONTEGADEA INVERSIONES, S.L.","PONTEGADEA ESPAÑA, S.L.U.",Joint Director
Mr José Arnau Sierra,"PONTEGADEA INVERSIONES, S.L.","ESPARELLE 2016, S.L.","Sole Director (Legal representative of PONTEGADEA INMOBILIARIA, S.L.U.)"
Mr José Arnau Sierra,"PONTEGADEA INVERSIONES, S.L.","PONTEGADEA DIECIOCHO, S.L.","Sole Director (Legal representative of PONTEGADEA INVERSIONES, S.L.)"
Mr José Arnau Sierra,"PONTEGADEA INVERSIONES, S.L.","SOBRADO FORESTAL 2014, S.L.",Sole Director
