Regulation,Category,Date of approval
Store Disinfection Service Instruction,Instruction,1/03/2021
Store Cleaning Service Instruction,Instruction,1/03/2021
Instruction on Permission Management for SFI Compras Users,Instruction,1/03/2021
Personal Data Protection Procedure from Data Design and Processing,Procedure,10/05/2021
Corporate Security Policy,Policy,8/06/2021
Instruction for carrying out Risk and Impact Assessments in connection with Personal Data Protection,Instruction,18/08/2021
Procedure for Storing Personal Data,Procedure,27/08/2021
Procedure for Compliance Management regarding Personal Data Protection and Privacy - DPO Statute,Procedure,27/08/2021
Procedure for Providing Personal Information to Financial Institutions,Procedure,2/09/2021
Criminal Risk Prevention Policy - Mexico,Procedure,20/09/2021
Procedure for Security Personnel at Facilities,Procedure,29/11/2021
Workplace Surveillance Policy (Australia),Policy,22/12/2021
Corporate Parental Leave Policy (Australia),Policy,22/12/2021
