SDGS,Targets,COLLABORATING TO HAVE A POSITIVE IMPACT,Main indicator or related content
1,1.2,Collaborating to generate value in the community,GRI 203-2
2,2.1,Collaborating to generate value in the community,GRI 203-2
2,2.4,Collaborating to generate value in the community,GRI 203-2
3,3.4,"Collaborating with our people, the engine of that transformation",GRI 403-2 (2018)
tsv,,,
Section    3.4    Collaborating with our people,the engine of that transformation    GRI 403-2 (2018),,
Section    3.4    Collaborating so our suppliers grow    Supply chain workers benefiting from health and safety programmes,,,
Section    3.8    Collaborating to generate value in the community    GRI 203-2,,,
Section    3.9    Collaborating to transform through sustainable management of our products    Chemical substances included in the Manufacturing Restricted Substances List (MRSL),,,
Section    3.9    Collaborating to safeguard the planet    GRI 305-1; GRI 305-2; GRI 305-3,,,
Section    4.4 and 4.5    Collaborating with our people,the engine of that transformation    GRI 404-1,,
Section    4.4 and 4.5    Collaborating to generate value in the community    GRI 203-2,,,
Section 4.4 and 4.5  Collaborating to generate value in the community  GRI 203-2,,,
Section 5.1  Collaborating with our people,the engine of that transformation  GRI 405-1; GRI 401-3; GRI 405-2,,
Section 5.1  Collaborating so our suppliers grow  Supply chain workers benefiting from gender,diversity and inclusion programmes,,
Section 5.1  Collaborating to generate value in the community  GRI 203-2,,,
Section 5.1  Good governance,corporate ethics culture and solid compliance architecture  GRI 405-1,,
Section 5.2  Collaborating so our suppliers grow  GRI 414-2,,,
Section 5.5  Good governance,corporate ethics culture and  GRI 102-22,,
Section    5.2    5.5    6.4    6.4    6.4    7.2    7.2    7.3,,,
solid compliance architecture    Collaborating so our suppliers grow    Good governance,corporate ethics culture and solid compliance architecture    Collaborating so our suppliers grow    Collaborating to safeguard the planet    Collaborating to generate value in the community    Collaborating to safeguard the planet    Collaborating to generate value in the community    Collaborating to safeguard the planet,,
GRI 414-2,,,
GRI 102-22,,,
Number of environmental audits carried out and the resulting corrective action plans,,,
GRI 303-3 (2018),,,
GRI 203-2,,,
GRI 302-1,,,
GRI 302-4,,,
