Name,Position,Directorship type
Ms Pilar López Álvarez,Chair,Independent
Bns. Denise Patricia Kingsmill,Ordinary member,Independent
Ms Anne Lange,Ordinary member,Independent
Mr José Arnau Sierra,Ordinary member,Proprietary
Mr José Luis Duran Schulz,Ordinary member,Independent
Mr Rodrigo Echenique Gordillo,Ordinary member,Independent
Mr Emilio Saracho Rodriguez deTorres,Ordinary member,Independent
% executive directors,% executive directors,0%
% proprietary directors,% proprietary directors,14.29 %
% independent directors,% independent directors,85.71%
% affiliate directors,% affiliate directors,-
