Name or company name of director,% Voting rights attributed to the shares Direct,% Voting rights attributed to the shares Indirect,% Voting rights through financial instruments Direct,% Voting rights through financial instruments Indirect,% Total voting rights Direct,% Total voting rights Indirect,% Voting rights that can be sold through financial instruments Direct,% Voting rights that can be sold through financial instruments Indirect
Mr Pablo Isla Álvarez de Tejera ^1,0.0680%,,-,0.0070%,-,0.0750%,-,-
Mr Amancio Ortega Gaona ^2,-,0.5929%,,-,-,59.2940%,-,-
Mr Óscar García Maceiras ^3,0.0004%,,-,0.0050%,-,0.0050%,-,-
Mr José Arnau Sierra,0.0010%,,-,-,-,0.0010%,-,-
Pontegadea Inversiones, S.L. ^4,50.0100%,,-,-,-,50.0100%,"-,-"
Bns Denise Patricia Kingsmill,-,-,-,-,-,-,-,-
Ms Anne Lange,-,-,-,-,-,-,-,-
Ms Pilar López Álvarez,0.0001%,,-,-,-,0.0001%,-,-
Mr José Luis Durán Schulz,0.0001%,,-,-,-,0.0001%,-,-
Mr Rodrigo Echenique Gordillo,-,-,-,-,-,-,-,-
Mr Emilio Saracho Rodríguez de Torres,-,-,-,-,-,-,-,-
Total,59.375%,,-,-,-,59.375%,-,-
