Name or company name,Position
Ms Lorena Alba Castro,Chief Logistics Officer
Mr José Pablo del Bado Rivas,Director of PULL& BEAR
Mr Carlos Crespo Gonzalez,Chief Operating Officer & Head of Digital and SustainableTransformation
Mr Miguel Diaz Miranda,Chief Financial Officer & Chief Operating Officer of ZARA
Mr Jesus Echevarria Hernandez,Chief Communication Oficer
Mr Ignacio Fernandez Fernandez,Chief Financial Officer
Mr Antonio Fl6rez de la Fuente,Director of BERSHKA
Mr Javier Garcia Torralbo,Chief e-commerce Director of ZARA
Ms Begona Lopez-Cano Ibarreche,Chief Human Resources Officer
Mr Abel López Cernadas,"Head of Import, Export and Transport"
Mr Marcos Lopez Garcia,Capital Markets Director
Mr Juan José López Romero,Head of General Services and Infrastructures
Mr Javier Losada Montero,Chief Sustainability Officer
Mr Gabriel Moneo Marina,Chief IT Officer
Mr Javier Monteoliva Diaz,General Counsel and Secretary of the Board
Ms Maria Lorena Mosquera Martin,Director of ZARA HOME
Ms Paula Mouzo Leston,Chief Audit Officer
Ms Beatriz Padin Santos,Director of ZARA WOMAN
Mr Jorge Pérez Marcote,Director of MASSIMO DUTTI
Mr Oscar Pérez Marcote,Director of ZARA
Mr José Luis Rodriguez Moreno,Director of UTERQUE
Ms Carmen Sevillano Chaves,Director of OYSHO
Mr Jordi Triquell Valls,Director of STRADIVARIUS
Number of women in senior management,Number of women in senior management
Percentage out of all senior managers,Percentage out of all senior managers
Total remuneration of senior management (thousand euros),Total remuneration of senior management (thousand euros)
