Markets,2021,2020,2019,2018
Americas,592,357,623,489
Brazil,90,53,108,100
Canada,50,41,53,43
United States,259,129,213,151
Mexico,141,101,194,136
Others,52,33,55,59
Asia & Rest of the world,257,248,345,359
Australia,15,11,12,10
China,66,79,138,173
South Korea,32,31,32,27
Japón,51,59,66,64
Kazakhstan,19,12,14,14
Others,74,56,83,71
Spain,780,620,"1,049",928
Spain,780,620,"1,049",928
Europe,794,691,"1,023",988
Germany,26,18,32,33
Belgium,9,7,18,35
France,84,117,190,229
Greece,16,12,31,23
The Netherlands,85,117,166,108
Hungary,3,4,4,4
Italy,37,44,75,82
Poland,17,24,22,11
Portugal,14,20,29,46
United Kingdom,120,16,65,72
Romania,6,2,10,13
Russia,124,79,109,96
Switzerland,62,66,94,70
Ukraine,22,16,18,16
Others,169,149,160,150
Direct taxes,"2,423","1,916","3,040","2,764"
