GRIStandard,"Disclosure Page number(s), URL and/or direct answer","Disclosure Page number(s), URL and/or direct answer",Omissions,ExternalAssurance,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,Global Compactprinciple,,,,
,102-36 Process fordetermining remuneration,102-36 Process fordetermining remuneration,102-36 Process fordetermining remuneration,102-36 Process fordetermining remuneration,"453-455,258-260For further information,",,,,,,,,,,,,
,102-36 Process fordetermining remuneration,102-36 Process fordetermining remuneration,102-36 Process fordetermining remuneration,102-36 Process fordetermining remuneration,"refer to the Annual Reporton Remuneration ofDirectors for 2021 and the2021 Annual CorporateGovernance Report,available at the corporateweb page of Inditex,Compliance section,Corporate Governanceheading.","refer to the Annual Reporton Remuneration ofDirectors for 2021 and the2021 Annual CorporateGovernance Report,available at the corporateweb page of Inditex,Compliance section,Corporate Governanceheading.","refer to the Annual Reporton Remuneration ofDirectors for 2021 and the2021 Annual CorporateGovernance Report,available at the corporateweb page of Inditex,Compliance section,Corporate Governanceheading.","refer to the Annual Reporton Remuneration ofDirectors for 2021 and the2021 Annual CorporateGovernance Report,available at the corporateweb page of Inditex,Compliance section,Corporate Governanceheading.","refer to the Annual Reporton Remuneration ofDirectors for 2021 and the2021 Annual CorporateGovernance Report,available at the corporateweb page of Inditex,Compliance section,Corporate Governanceheading.","refer to the Annual Reporton Remuneration ofDirectors for 2021 and the2021 Annual CorporateGovernance Report,available at the corporateweb page of Inditex,Compliance section,Corporate Governanceheading.","refer to the Annual Reporton Remuneration ofDirectors for 2021 and the2021 Annual CorporateGovernance Report,available at the corporateweb page of Inditex,Compliance section,Corporate Governanceheading.","refer to the Annual Reporton Remuneration ofDirectors for 2021 and the2021 Annual CorporateGovernance Report,available at the corporateweb page of Inditex,Compliance section,Corporate Governanceheading.","refer to the Annual Reporton Remuneration ofDirectors for 2021 and the2021 Annual CorporateGovernance Report,available at the corporateweb page of Inditex,Compliance section,Corporate Governanceheading.",,,,
,102-37 Stakeholders'involvement inremuneration,102-37 Stakeholders'involvement inremuneration,102-37 Stakeholders'involvement inremuneration,102-37 Stakeholders'involvement inremuneration,"453-455,258-260For further information,refer to the Annual Reporton Remuneration ofDirectors for 2021 and the2021 Annual CorporateGovernance Report,available at the corporateweb page of Inditex,Compliance section,Corporate Governanceheading.",,,,,,,,,,,,
,102-38 Annual totalcompensation ratio,102-38 Annual totalcompensation ratio,102-38 Annual totalcompensation ratio,102-38 Annual totalcompensation ratio,"456,260For further information,refer to the 2021 AnnualCorporate GovernanceReport,available at thecorporate web page ofInditex, Compliancesection, CorporateGovernance heading.",,,,,,,,,,,,
,102-39 Percentageincrease in annual totalcompensation ratio,102-39 Percentageincrease in annual totalcompensation ratio,102-39 Percentageincrease in annual totalcompensation ratio,102-39 Percentageincrease in annual totalcompensation ratio,"456,259For further information,refer to the 2021 AnnualCorporate GovernanceReport,available at thecorporate web page ofInditex,Compliancesection, CorporateGovernance heading.",,,,,,,,,,,,
STAKEHOLDER ENGAGEMENT,STAKEHOLDER ENGAGEMENT,STAKEHOLDER ENGAGEMENT,STAKEHOLDER ENGAGEMENT,,,,,,,,,,,,,,
,102-40 List of stakeholdergroups,102-40 List of stakeholdergroups,102-40 List of stakeholdergroups,102-40 List of stakeholdergroups,209,,,,,,,,,,,,
,102-41 Collectivebargaining agreements,102-41 Collectivebargaining agreements,102-41 Collectivebargaining agreements,102-41 Collectivebargaining agreements,"255,356",,,,,Principle 3,,,,,,,
,102-42 Identifying andselecting stakeholders,102-42 Identifying andselecting stakeholders,102-42 Identifying andselecting stakeholders,102-42 Identifying andselecting stakeholders,208-209,,,,,,,,,,,,
GRI Standard,Disclosure,Disclosure,Disclosure,Disclosure,"Page number(s), URLand/or direct answer",Omissions,Omissions,Omissions,ExternalAssurance,Global Compactprinciple,,,,,,,
