2021,2020,2019,2018,2018-2021 % change
ENERGY,Electricity,Global consumption (MWh),"1,756,210","1,270,704,1,892,947,1,969,127,-11%"
,% Renewables,91%,81%,"63%,45%,+103%"
EMISSIONS (tCO2 eq),Scopes 1 and 2,Scope 1,"14,575","11,859,15,804,19,172,-24%"
,Scope 2 Location-Based,"541,493","363,718","589,547,651,266,-17%"
,Scope 2 Market-Based,"47,770","98,676","293,981,419,448,-89%"
,Total scopes 1 and 2 Location-Based,"556,068","375,577","605,351,670,438,-17%"
,Total scopes 1 and 2 Market-Based,"62,345","110,535","309,785,438,620,-86%"
,Scope 3,"17,097,801","13,341,462","17,988,897,18,325,553,-7%"
MATERIAL METRICS,Revenue (€),Scopes 1 and 2 Location-Based (g CO2eq/€),20,"18,21,26,-22%"
,Scopes 1 and 2 Market-Based (g CO2eq/€),2,5,"11,17,-87%"
,Total area (m²),Scope 1 and 2 Location-Based (kg CO2eq/m²),71,"49,76,89,-20%"
,Scope 1 and 2 Market-Based (kg CO2eq/m²),8,14,"39,58,-86%"
