2021,Training,hours,Participants,Average,staff,Hours,per,person
Spain,316712,110930,46075,6.9,,,,
Europe,(excl.,Spain),1213307,345372,82619,14.7,,
Americas,348139,71624,19888,17.5,,,,
Asia,&,Rest,of,the,world,464215,23954,"16460,28.2"
Total,2342373,551880,165042,14.2,,,,
2020,Training,hours,Participants,Average,staff,Hours,per,person
Spain,218789,113150,40279,5.4,,,,
Europe,(excl.,Spain),565654,156289,69834,8.1,,
Americas,61725,60877,16788,3.7,,,,
Asia,&,Rest,of,the,world,154683,41289,"17215,9"
Total,1000851,371605,144116,6.9,,,,
2019,Training,hours,Participants,Average,staff,Hours,per,person
Spain,351421,117637,48687,7.2,,,,
Europe,(excl.,Spain),2085281,163656,84634,24.6,,
Americas,45684,48929,19749,2.3,,,,
Asia,&,Rest,of,the,world,606904,31028,"23541,25.8"
Total,3089290,361250,176611,17.5,,,,
