Country,Total
Workers trained/Market\t2021,
Spain\t14,706
Germany\t434,
Argentina\t781,
Australia and New Zealand\t404,
Austria\t579,
Belarus\t386,
Belgium\t1,309
Brazil\t671,
Bulgaria\t590,
Brazil,671
Bulgaria,590
Canada,"1,702"
Chile,201
Mainland China,"5,782"
Croatia,"1,030"
Slovakia,436
United States,"2,687"
France,"2,870"
Greece,"1,244"
India,63
Country\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t,
Portugal,"1,888"
United Kingdom,"4,568"
Czech Republic,479
Romania,"2,567"
Russia,"1,573"
Serbia,910
South Africa,42
Turkey,"2,338"
Ukraine,"1,314"
Uruguay,322
Uruguay\t\t\t\t322,
