Name or company name of relateddirector orrepresentative,Name or company nameof related significantshareholder,Company name of thegroup company of thesignificant shareholder,Description ofrelationship/position
Mr Amancio OrtegaGaona,"PONTEGADEAINVERSIONES, S.L.","PONTEGADEAINVERSIONES, S.L.",Chair of the Board
Mr Amancio OrtegaGaona,"PONTEGADEAINVERSIONES, S.L.","PONTEGADEAINMOBILIARIA, S.L.U.",Chair of the Board
Mr Amancio OrtegaGaona,"PONTEGADEAINVERSIONES, S.L.","PONTEGADEA GB 2020,S.L.",Chair of the Board
Mr Amancio OrtegaGaona,"PARTLER 2006, S.L.","PARTLER 2006, S.L.",Chair of the Board
Mr Amancio OrtegaGaona,"PARTLER 2006,S.L..","PARTLERPARTICIPACIONES, S.L.U.",Chair of the Board
"Mrs Flora PérezMarcote(Legal representativeof PONTEGADEAINVERSIONES,S.L.)","PONTEGADEAINVERSIONES, S.L.","PONTEGADEAINVERSIONES, S.L.",1st Deputy Chair
"Mrs Flora PérezMarcote(Legal representativeof PONTEGADEAINVERSIONES,S.L.)","PONTEGADEAINVERSIONES, S.L.","PONTEGADEAINMOBILIARIA, S.L.U.",1st Deputy Chair
"Mrs Flora PérezMarcote(Legal representativeof PONTEGADEAINVERSIONES,S.L.)","PONTEGADEAINVERSIONES, S.L.","PONTEGADEA GB 2020,S.L.",1st Deputy Chair
Mr José Arnau Sierra,"PONTEGADEAINVERSIONES, S.L.","PONTEGADEAINVERSIONES, S.L.",2nd Deputy Chair
Mr José Arnau Sierra,"PONTEGADEAINVERSIONES, S.L.","PONTEGADEAINMOBILIARIA, S.L.U.",2nd Deputy Chair
Mr José Arnau Sierra,"PONTEGADEAINVERSIONES, S.L.","PONTEGADEAESPANA,S.L.U.",Joint Director
Mr José Arnau Sierra,"PONTEGADEAINVERSIONES, S.L.","ESPARELLE 2016,S.L.","Sole Director(Legal representative ofPONTEGADEAINMOBILIARIA, S.L.U.)"
Mr José Arnau Sierra,"PONTEGADEAINVERSIONES, S.L.","PONTEGADEADIECIOCHO, S.L.","Sole Director(Legal representative ofPONTEGADEAINVERSIONES, S.L.)"
Mr José Arnau Sierra,"PONTEGADEAINVERSIONES, S.L.","SOBRADO FORESTAL2014, S.L.",Sole Director
