Scope,Description,Methodology,Emission factors
Scope 1,"Direct emissions related to sourcesunder the direct control of the InditexGroup (combustion in boilers,ownvehicles, etc.).",Scope 1emissions arecalculated based on theconsumption of thevarious fuel types andtheir correspondingemission factors.,"DEFRA (Departmentfor Environment Food& Rural Affairs), v.3.0,2021."
Scope 2,These are indirect emissions related tothe generation of electricity acquiredand consumed by the Inditex Group.,Scope 2 emissions arecalculated based on theconsumption of electricityin each market and theircorresponding emissionfactors.,"Location-basedmethod:IEA (2021),EmissionFactorsMarket-based method:Contractual instrumentsforrenewableenergy: (PPA,EACs,etc.)IEA (2021),EmissionFactors"
Scope 3 -Category 1:Purchasedgoods andservices,All upstream (cradle-to-gate) emissionsgenerated in Inditex's supply chainfrom the manufacture of products madeavailable to customers.,Extraction of rawmaterials: emissions arecalculated based on thetonnes of the various rawmaterials consumed and the correspondingemission factors.,"Higg MaterialsSustainability Index(MSI),2021."
Scope 3 -Category 1:Purchasedgoods andservices,All upstream (cradle-to-gate) emissionsgenerated in Inditex's supply chainfrom the manufacture of products madeavailable to customers.,Spinning and weaving:emissions are calculatedbased on the energyconsumption and thecorresponding emissionfactors.Energyconsumption is estimatedon the basis of rawmaterials consumptionratios.,"IEA (2021),EmissionFactors.DEFRA (Departmentfor Environment Food& Rural Affairs),v.3.0,2021."
Scope 3 -Category 1:Purchasedgoods andservices,All upstream (cradle-to-gate) emissionsgenerated in Inditex's supply chainfrom the manufacture of products madeavailable to customers.,Wet processes and cuttingand sewing: Emissions arecalculated using theGreenhouse Gas Protocol'sScope 3 emissionscalculator.,"Scope 3 evaluator,Greenhouse GasProtocol and Quantis"
Scope3-Category 2:Capital goods,"Emissions generated as a result of theextraction,production andtransportation of capital goodspurchased and/or acquired by theCompany.",Emissions are calculatedusing the GreenhouseGas Protocol's Scope 3emissions calculator.,"Scope 3 evaluator,Greenhouse GasProtocol and Quantis"
Scope 3-Category 3:Fuel-andenergy-relatedactivities,"Emissions generated in the process ofextraction,refining,production andtransportation of energy and fuelspurchased and acquired by theCompany.",Emissions are calculatedbased on the globalenergy consumption andthe correspondingemission factors.,"DEFRA (Departmentfor Environment Food& Rural Affairs), v.3.0,2021."
"Scope 3,Category 4:Upstreamtransport anddistribution",Emissions linked to the upstreamtransportation and distribution servicesacquired by the Company.,"Their calculation takesinto account the tonnestransported andkilometres travelled byeach means of transport,along with the relevantemission factors.","GLEC,Global LogisticEmissions CouncilFramework forLogistics EmissionsAccounting andReporting, V.2.0."
"Scope 3,Category 5:Waste generated inoperations","Emissions from the disposal andtreatment of waste generated inInditex's headquarters,own logisticcentres and own factories.Informationon waste generated in own stores notavailable with the required level ofbreakdown.","Their calculation takesinto account the tonnes ofeach type of wastegenerated and the finaltreatment of each,alongwith the correspondingemission factors.","DEFRA (Departmentfor Environment Food& Rural Affairs), v.3.0,2021."
"Scope 3,Category 6:Businesstravels",Emissions from the transportation ofemployees for business-relatedactivities in vehicles owned or operatedby third parties.,"For the calculation,theorigin,destination,meansof transport used by theSpanish agencies and thecorresponding emissionfactor are taken intoaccount. It isextrapolated to the rest ofthe subsidiaries based ontravel expenses in Spain.","DEFRA (Departmentfor Environment Food& Rural Affairs), v.3.0,2021."
"Scope 3,Category 7:Employeecommuting",Emissions generated as employeescommute between home and work.,Their calculation involvesestimatingaveragedistances covered bymeans of transport andcommuting patternsbased on bibliographicresearch.,"DEFRA (Departmentfor Environment Food& Rural Affairs), v.3.0,2021."
"Scope 3,Category 8:Upstreamleased assets",Emissions associated with third-partyassets leased by Inditex.,Not applicable,
Scope 3，Category 9:Downstreamtransportationanddistribution,Emissions from the downstreamtransportation and distribution of soldproducts.,Not reported.Inditex isworking on improving theinternal corporatesystems to provide thisinformation with thedegree of detail required.,
"Scope 3,Category 10:Processing ofsold products",Emissions from the subsequenttransformation of sold products.,Not applicable,
"Scope 3,Category 11:Use of soldproducts",Estimated emissions expected from theuse of products sold by Inditex.,Their calculation takesinto account the energyconsumed during the usephase based onbibliographic research.,"IEA (2021), EmissionFactors.Higg Product Modulemethodology, June2021."
"Scope3,Category 12:End of lifetreatment ofsold products",Emissions from the final disposal of products sold by the Company.,Their calculation takesinto account the numberof units sold and the finaldestination based onbibliographic research(20% reuse and 80%landfill).,"DEFRA (Departmentfor Environment Food& Rural Affairs),v.3.0,2021."
"Scope 3,Category 13:Downstreamleased assets",Emissions from Inditex-owned assetsleased to third parties.,Not applicable.,
"Scope3,Category 14:Franchises",Emissions from franchisees during theoperation of franchises.,The electricityconsumption offranchises has beenestimated based on theconsumption averages ofown stores.Thisconsumption is multipliedby the correspondingemission factor.,"IEA (2021), EmissionFactors."
"Scope3,Category 15:Investments",Emissions from Inditex investmentactivities.,"Included in this categoryare equity investmentsand debt investments.Project financing andinvestment managementand customer service donot apply.They arecalculated using thecalculator Scope 3evaluator, GreenhouseGas Protocol and Quantis.","Scope 3 evaluator,Greenhouse GasProtocol and Quantis."
