2021Numberofemployees,2021Numberofemployees,2021,2021,2020,2020,2019,2019,2018
2021Numberofemployees,2021Numberofemployees,%,Numberofemployees,%,Numberofemployees,%,Numberofemployees,%
Distribution by gender,Distribution by gender,Distribution by gender,,,,,,
Women,"72,992",58%,"56,640",52%,"70,308",55%,"63,292",51%
Men,"19,026",48%,"15,861",44%,"23,601",47%,"22,091",43%
TOTAL,"92,018",56%,"72,501",50%,"93,909",53%,"85,383",49%
Distribution by age,Distribution by age,Distribution by age,Distribution by age,Distribution by age,Distribution by age,Distribution by age,Distribution by age,Distribution by age
<30 years old,"65,213",72%,"49,137",62%,"66,978",64%,"58,626",58%
30-40yearsold,"19,375",39%,"17,576",39%,"20,854",40%,"21,471",41%
>40 years old,"7,430",31%,"5,788",29%,"6,077",29%,"5,286",27%
TOTAL,"92,018",56%,"72,501",50%,"93,909",53%,"85,383",49%
Distributionbyi,ob classification (24),ob classification (24),,,,,,
Management,493,4%,428,4%,273,3%,139,2%
Supervisor,"1,873",11%,"1,545",9%,"1,804",9%,"1,831",9%
Specialist,"89,652",67%,"70,528",61%,"91,832",63%,"83,413",57%
TOTAL,"92,018",56%,"72,501",50%,"93,909",53%,"85,383",49%
