"GRI Page number(s), URLDisclosure Standard and/or direct answer","GRI Page number(s), URLDisclosure Standard and/or direct answer","GRI Page number(s), URLDisclosure Standard and/or direct answer","GRI Page number(s), URLDisclosure Standard and/or direct answer","GRI Page number(s), URLDisclosure Standard and/or direct answer","GRI Page number(s), URLDisclosure Standard and/or direct answer","GRI Page number(s), URLDisclosure Standard and/or direct answer","GRI Page number(s), URLDisclosure Standard and/or direct answer",Omissions,Omissions,ExternalAssurance,ExternalAssurance,Global Compact principle,,,,
,103-2 The management,103-2 The management,103-2 The management,103-2 The management,103-2 The management,103-2 The management,"184-187,334,387-391",,,,,,,,,
,approach and its,approach and its,approach and its,approach and its,approach and its,approach and its,The Global Water,,,,,,,,,
,components,components,components,components,components,components,Management Strategy,,,,,,,,,
,,,,,,,(available at the corporate,,,,,,,,,
,,,,,,,"web page of Inditex, How",,,,,,,,,
,,,,,,,"we do business section,",,,,,,,,,
,,,,,,,Our Commitment to the,,,,,,,,,
,,,,,,,Environment - Water,,,,,,,,,
,,,,,,,heading) contains a,,,,,,,,,
,,,,,,,roadmap for achieving the,,,,,,,,,
,,,,,,,,,sustainable and rational,,,,,,,
,,,,,,,management of water and,,,,,,,,,
,,,,,,,enhanced conservation of,,,,,,,,,
,,,,,,,the environmental quality,,,,,,,,,
,,,,,,,,,of freshwater and marine,,,,,,,
,,,,,,,"ecosystems.Inditex'sdetox commitment willsimilarly contribute to thesustainable use of water.For more information,referto Inditex dedicatedwebsite Water Action Plan.",,,,,,,,,
,,,,,,,"ecosystems.Inditex'sdetox commitment willsimilarly contribute to thesustainable use of water.For more information,referto Inditex dedicatedwebsite Water Action Plan.",,,,,,,,,
,103-3 Evaluation of themanagement approach,103-3 Evaluation of themanagement approach,103-3 Evaluation of themanagement approach,103-3 Evaluation of themanagement approach,103-3 Evaluation of themanagement approach,103-3 Evaluation of themanagement approach,"184-187,387-391",,,,,,,,,
GRI303:WATER AND EFFLUENTS 2018,GRI303:WATER AND EFFLUENTS 2018,GRI303:WATER AND EFFLUENTS 2018,GRI303:WATER AND EFFLUENTS 2018,GRI303:WATER AND EFFLUENTS 2018,GRI303:WATER AND EFFLUENTS 2018,GRI303:WATER AND EFFLUENTS 2018,GRI303:WATER AND EFFLUENTS 2018,GRI303:WATER AND EFFLUENTS 2018,GRI303:WATER AND EFFLUENTS 2018,GRI303:WATER AND EFFLUENTS 2018,GRI303:WATER AND EFFLUENTS 2018,GRI303:WATER AND EFFLUENTS 2018,,,,
,303-1 Interactions withwater asa shared resource,303-1 Interactions withwater asa shared resource,303-1 Interactions withwater asa shared resource,303-1 Interactions withwater asa shared resource,303-1 Interactions withwater asa shared resource,303-1 Interactions withwater asa shared resource,387-390,,,,,,,,Principles 7and8,
,303-2 Management ofwater discharge-relatedimpacts,303-2 Management ofwater discharge-relatedimpacts,303-2 Management ofwater discharge-relatedimpacts,303-2 Management ofwater discharge-relatedimpacts,303-2 Management ofwater discharge-relatedimpacts,303-2 Management ofwater discharge-relatedimpacts,"388,334-335,340-341,343-344,159The water supplied to allworkplaces,whether forprocessing orconsumption,is withdrawnfrom authorised public supply networks,so thatInditex does not have anyimpact on protectedhabitats.Moreover,all of its water supply comesfrom areas experiencinglow or no water stress.",,,,,Principle 8,,,,
,303-3 Water withdrawal,303-3 Water withdrawal,303-3 Water withdrawal,303-3 Water withdrawal,303-3 Water withdrawal,303-3 Water withdrawal,388,,,,,Principle 8,,,,
GRI Standard,Disclosure 303-4 Water discharge,Disclosure 303-4 Water discharge,Disclosure 303-4 Water discharge,Disclosure 303-4 Water discharge,Disclosure 303-4 Water discharge,Disclosure 303-4 Water discharge,"Page number(s), URL and/or direct answer 388",Omissions,Omissions,External Assurance,External Assurance,Global Compact principle,,,,
,303-5 Water consumption,303-5 Water consumption,303-5 Water consumption,303-5 Water consumption,303-5 Water consumption,303-5 Water consumption,"Further information about water discharges,available at the corporate web page of Inditex, How we do business section, Our Commitment to the Environment -Water heading. 388 Inditex discloses information about water consumption at all of its offices,own factories,own logistics centres and all its own stores worldwide.The water supplied to all workplaces,whether for processing or consumption,is withdrawn from authorised public supply networks. Moreover,all of its water supply comes fromareas experiencing low or no water stress.","The disclosure of water consumption in areas experiencing water stress is not applicable as Inditex's business is to distribute fashion garments (clothing, footwear and accessories) and home textile products,which it procures as finished products from its suppliers. In short, water consumption is not material on account of its business model and al f its water supply is sourced from areas that present low or no water stress. As for its suppliers, the Company has a number of policies and assessment and improvement programmes (e.g., Code of Conduct for Manufacturers and Suppliers, Green to Wear, etc.) designed to drive environmental sustainability across its supply chain.","The disclosure of water consumption in areas experiencing water stress is not applicable as Inditex's business is to distribute fashion garments (clothing, footwear and accessories) and home textile products,which it procures as finished products from its suppliers. In short, water consumption is not material on account of its business model and al f its water supply is sourced from areas that present low or no water stress. As for its suppliers, the Company has a number of policies and assessment and improvement programmes (e.g., Code of Conduct for Manufacturers and Suppliers, Green to Wear, etc.) designed to drive environmental sustainability across its supply chain.",√ Pg.143-145,√ Pg.143-145,,,,,
"GRI Page number(s), URL External Global CompactDisclosure Omissions Standard and/or direct answer Assurance principleGRI 306: WASTE 2020","GRI Page number(s), URL External Global CompactDisclosure Omissions Standard and/or direct answer Assurance principleGRI 306: WASTE 2020","GRI Page number(s), URL External Global CompactDisclosure Omissions Standard and/or direct answer Assurance principleGRI 306: WASTE 2020","GRI Page number(s), URL External Global CompactDisclosure Omissions Standard and/or direct answer Assurance principleGRI 306: WASTE 2020","GRI Page number(s), URL External Global CompactDisclosure Omissions Standard and/or direct answer Assurance principleGRI 306: WASTE 2020","GRI Page number(s), URL External Global CompactDisclosure Omissions Standard and/or direct answer Assurance principleGRI 306: WASTE 2020","GRI Page number(s), URL External Global CompactDisclosure Omissions Standard and/or direct answer Assurance principleGRI 306: WASTE 2020","GRI Page number(s), URL External Global CompactDisclosure Omissions Standard and/or direct answer Assurance principleGRI 306: WASTE 2020","GRI Page number(s), URL External Global CompactDisclosure Omissions Standard and/or direct answer Assurance principleGRI 306: WASTE 2020","GRI Page number(s), URL External Global CompactDisclosure Omissions Standard and/or direct answer Assurance principleGRI 306: WASTE 2020","GRI Page number(s), URL External Global CompactDisclosure Omissions Standard and/or direct answer Assurance principleGRI 306: WASTE 2020","GRI Page number(s), URL External Global CompactDisclosure Omissions Standard and/or direct answer Assurance principleGRI 306: WASTE 2020","GRI Page number(s), URL External Global CompactDisclosure Omissions Standard and/or direct answer Assurance principleGRI 306: WASTE 2020","GRI Page number(s), URL External Global CompactDisclosure Omissions Standard and/or direct answer Assurance principleGRI 306: WASTE 2020","GRI Page number(s), URL External Global CompactDisclosure Omissions Standard and/or direct answer Assurance principleGRI 306: WASTE 2020",,
,306-1 Waste generationand significant waste-related impacts,306-1 Waste generationand significant waste-related impacts,306-1 Waste generationand significant waste-related impacts,306-1 Waste generationand significant waste-related impacts,306-1 Waste generationand significant waste-related impacts,306-1 Waste generationand significant waste-related impacts,"395-397,296-298,322-326",,,,,Principle 8,,,,
,306-2Management ofsignificant waste-relatedimpacts,306-2Management ofsignificant waste-relatedimpacts,306-2Management ofsignificant waste-relatedimpacts,306-2Management ofsignificant waste-relatedimpacts,306-2Management ofsignificant waste-relatedimpacts,306-2Management ofsignificant waste-relatedimpacts,"395-397,296-298",,,,,Principle 8,,,,
,306-3Waste generated,306-3Waste generated,306-3Waste generated,306-3Waste generated,306-3Waste generated,306-3Waste generated,"395-397,296-307None of the waste generatedis disposed ofby deep wellinjection or stored on site.",The Company'ssystems are notcurrently capable ofproducingdisclosures about the waste generated in its proprietary stores with the levelof detail required.Inditex has anumber of projectsunderway with theaim of being able tocomply with thisdisclosurerequirement by2023.,The Company'ssystems are notcurrently capable ofproducingdisclosures about the waste generated in its proprietary stores with the levelof detail required.Inditex has anumber of projectsunderway with theaim of being able tocomply with thisdisclosurerequirement by2023.,√Pg.143-145,√Pg.143-145,Principle 8,,,,
,306-4 Waste divertedfrom disposal,306-4 Waste divertedfrom disposal,306-4 Waste divertedfrom disposal,306-4 Waste divertedfrom disposal,306-4 Waste divertedfrom disposal,306-4 Waste divertedfrom disposal,"396,285-293",The Company'ssystems are notcurrently capable ofproducingdisclosures aboutthe waste divertedfrom disposal in itsproprietary storeswith the level ofdetail required.Inditex has anumber of projectsunderway with theaim of being able tocomply with thisdisclosurerequirement by2023.,The Company'ssystems are notcurrently capable ofproducingdisclosures aboutthe waste divertedfrom disposal in itsproprietary storeswith the level ofdetail required.Inditex has anumber of projectsunderway with theaim of being able tocomply with thisdisclosurerequirement by2023.,√Pg.143-145,√Pg.143-145,Principle 8,,,,
