Opportunity,Description of the opportunity
Integrated businessmodel,"All our formats continue to introduce cutting-edge technology into their integratedstores and online platform,creating an efficient, sustainable and integrated economicmodel.We generate opportunities for improvement for our entire ecosystem whileminimising resource consumption, thus decoupling economic performance from itsimpact.O More information in section 4.Transforming with a unique modelof this Report."
Continuous strategictransformation,"Our integrated business model gives us an overview of our customers and theirdemands at alltimes.Our strategy harnesses this advantage to evolve our modeltowards economic,sustainable and inclusive improvements.The starting point is to tryto maintain the level of commercial success achieved to date,building on theopportunities afforded by digitalisation and our sustainability ambitions.O More information in section 4. Transforming with aunique modelof this Report."
Innovation,"The complexity of the global challenges we face and the path towards a positiveimpact require an increasingly prominent presence of innovation,science andtechnology in our actions.For example,through our collaborative platform caled theSustainability Innovation Hub,Zara teamed with the start-up LanzaTech to launch acapsule collection of party dresses made with fabric from captured CO2 emissions. In2021,Inditex was recognised by Boston Consulting Group as one of the world's 50most innovative companies.O More information insection4.3.Innovation,vital for transformationof this Report."
Customer orientation,"We have a process of interaction with our customers as the main tool to identify thelatest trends and create the products they want (clothing,footwear,accessories andhousehold items), maintaining our high standards through a combination of design,quality and sustainability,at affordable prices.This constant connection has alsoenabled us to pinpoint new needs that we have gradually incorporated in the form ofnew services,technologies or channels.O More information in section 5.2. Collaborating with our customers,the force drivingtransformation of this Report."
Transformation of thesector,"We have developed a unique business model the hallmarks of which are flexibility andefficiency,ceaseless innovation,the creativity of our staff and our focus onsustainability in every process involved.This is the starting point from which we workto effect, through determination and collaboration,the transformation of the sector,generating a positive impact on society,the industry and our environment.OMore information in section 5. Collborating to have a positive impact of this Report."
Collaboration,"To address the paradigm shift needed to face the challenges posed by the fightagainst climate change,circularity or the sustainable development of communities,we have to join forces with allthe actors involved. Hence,we take an open approach inwhich collaboration is a pillar of transformation. Examples of this are our engagementwith entities such as the United Nations Global Compact,The Fashion Pact, EllenMacArthur Foundation or Zero Discharge of Hazardous Chemicals,among others.O More information in section 4.4. Collaboration, the essence of transformation of this Report."
Join Life products,"At Inditex we believe that our commitment to our customers also implies anticipatingtheir demands in matters such as diversity,sustainability or transparency,issues inwhich we want to involve them in our efforts and progress.In this regard,of particularimportance is our Join Life label,which tells our customers which are the mostsustainable articles and highlights their environmental properties. Our commitment isthat 5O% of the products we offer our customers will be Join Life by 2022.① More information in sections 5.4.2. Design and selection of materials and 5.4.3. Join Life programme of this Report."
Efficient consumption ofnatural resources,"As part of our commitment to sustainable development, at Inditex we are stronglycommitted to circularity,an economic,management and production model thatenables growth while conserving natural resources and advancing in thedecarbonisation of the value chain.For us,circularity represents a differential modelfor production and consumption that spans every stage of a product from design toend of life,promotes the recycling and reuse of articles to extend their life cycle andthus minimises the use of natural resources,energy consumption and wastegeneration.① More information in section 5.4. Collaborating to transform through sustainable managementof our products of this Report."
Energy efficiency,Energy efficiency is a priority in both our designs and our day-to-day operations. Inthis regard we are constantly reviewing our standards to guarantee that they are inline with cutting-edge practices and implementing new programmes to advance onthe path of continuous improvement and sustainability in our operations.We workclosely with our suppliers and other organisations to promote the rational and efficientuse of energy throughout the value chain.① More information in section 5.6.1. Our approach to decarbonisation and energy management of this Report.
Generation of renewableenergies,"The generation and acquisition of energy from renewable sources is a core pillar of thearchitecture of our business model.To achieve this,we invest in generating renewableenergy at our own operating centres.We use our own solar thermal,solar photovoltaicor wind energy,as well as facilities to harness geothermal energy. Furthermore,bymeans of our Join Life standard,we promote the generation of renewable energies inour supply chain.① More information in sections 5.6.1. Our approach to decarbonisation and energy managementand 5.4.3.Join Life programme of this Report."
Sustainable building,"We make the necessary investments in all our headquarters,platforms and stores to control the consumption of resources,to reduce that consumption and to mitigate its impact.For example,when building our headquarters,they are designed in accordance with bioclimatic criteria,encouraging the installation of photovoltaic panels,harnessing rain water for non-drinking uses and ensuring that lighting systems are self-regulating in accordance with external light conditions.In 2O21,we highlight the new Zara.com building,with a surface area of 67,Ooo m² and equipped with the latest advances in technology and sustainability. ?More information in section 5.6. Collaborating to safeguard theplanetof this Report."
Acknowledgements,"The relationship with NGOs,governments and other civil organisations is key to implementing our sustainable business model throughout the value chain.The recognition from some of these organisations of our work in 2021 is an incentive to continue making progress.Notable recognitions obtained in 2O21 include our listing in the FTSE4Good, CDP,DJSI or the Global 1OO Most Sustainable Corporations in the World rankings. ① More information in section 3.4. Acknowledgements of this Report."
