"GRI Page number(s), URLDisclosure Omissions Standard and/or direct answer","GRI Page number(s), URLDisclosure Omissions Standard and/or direct answer","GRI Page number(s), URLDisclosure Omissions Standard and/or direct answer","GRI Page number(s), URLDisclosure Omissions Standard and/or direct answer","GRI Page number(s), URLDisclosure Omissions Standard and/or direct answer","GRI Page number(s), URLDisclosure Omissions Standard and/or direct answer",ExternalAssurance,Global Compactprinciple,
,401-3 Parental leave,401-3 Parental leave,240-241,240-241,Information,√Pg.143-145,Principle 6,
,401-3 Parental leave,401-3 Parental leave,,,relating to Spain;,√Pg.143-145,Principle 6,
,401-3 Parental leave,401-3 Parental leave,,,the corresponding,√Pg.143-145,Principle 6,
,,,,,international data,√Pg.143-145,Principle 6,
,,,,,is not available in,√Pg.143-145,Principle 6,
,,,,,the Company's,√Pg.143-145,Principle 6,
,,,,,systems with thelevel of detailrequired.Inditex isworking to upgrade its systems with a view to reporting,√Pg.143-145,Principle 6,
,,,,,systems with thelevel of detailrequired.Inditex isworking to upgrade its systems with a view to reporting,√Pg.143-145,Principle 6,
,,,,,systems with thelevel of detailrequired.Inditex isworking to upgrade its systems with a view to reporting,√Pg.143-145,Principle 6,
,,,,,systems with thelevel of detailrequired.Inditex isworking to upgrade its systems with a view to reporting,√Pg.143-145,Principle 6,
,,,,,systems with thelevel of detailrequired.Inditex isworking to upgrade its systems with a view to reporting,√Pg.143-145,Principle 6,
,,,,,systems with thelevel of detailrequired.Inditex isworking to upgrade its systems with a view to reporting,√Pg.143-145,Principle 6,
,,,,,that information in,√Pg.143-145,Principle 6,
,,,,,"the Non-FinancialInformationStatement 2022,tobe published in2023.",√Pg.143-145,Principle 6,
GRI 402: LABOR/MANAGEMENT RELATIONS 2016,GRI 402: LABOR/MANAGEMENT RELATIONS 2016,GRI 402: LABOR/MANAGEMENT RELATIONS 2016,GRI 402: LABOR/MANAGEMENT RELATIONS 2016,GRI 402: LABOR/MANAGEMENT RELATIONS 2016,GRI 402: LABOR/MANAGEMENT RELATIONS 2016,GRI 402: LABOR/MANAGEMENT RELATIONS 2016,GRI 402: LABOR/MANAGEMENT RELATIONS 2016,
,402-1 Minimum notice periods regardingoperational changes,402-1 Minimum notice periods regardingoperational changes,The collective bargainingagreements in force do not include a minimum noticeperiod for officiallycommunicating significant,The collective bargainingagreements in force do not include a minimum noticeperiod for officiallycommunicating significant,,,Principle 3,
,402-1 Minimum notice periods regardingoperational changes,402-1 Minimum notice periods regardingoperational changes,"operational changes atInditex. However,whenever a significantdevelopment takes place,it is notified with theadvance notice stipulated","operational changes atInditex. However,whenever a significantdevelopment takes place,it is notified with theadvance notice stipulated",,,Principle 3,
,402-1 Minimum notice periods regardingoperational changes,402-1 Minimum notice periods regardingoperational changes,"operational changes atInditex. However,whenever a significantdevelopment takes place,it is notified with theadvance notice stipulated","operational changes atInditex. However,whenever a significantdevelopment takes place,it is notified with theadvance notice stipulated",,,Principle 3,
,402-1 Minimum notice periods regardingoperational changes,402-1 Minimum notice periods regardingoperational changes,"operational changes atInditex. However,whenever a significantdevelopment takes place,it is notified with theadvance notice stipulated","operational changes atInditex. However,whenever a significantdevelopment takes place,it is notified with theadvance notice stipulated",,,Principle 3,
,402-1 Minimum notice periods regardingoperational changes,402-1 Minimum notice periods regardingoperational changes,"operational changes atInditex. However,whenever a significantdevelopment takes place,it is notified with theadvance notice stipulated","operational changes atInditex. However,whenever a significantdevelopment takes place,it is notified with theadvance notice stipulated",,,Principle 3,
,,,in prevailing legislation(article 41 of the SpanishWorkers'Statute).,in prevailing legislation(article 41 of the SpanishWorkers'Statute).,,,Principle 3,
