,2021,2021,2021,2020,2020,2020,2019,2019,2019,2018,2018,2018
Asia,No.of suppliers,%of suppliers,%of production,No.of suppliers,%of suppliers,%of production,No.of suppliers,%of suppliers,%of production,No.of suppliers,%of suppliers,%of production
A,217,22%,26%,194,20%,26%,354,32%,37%,273,26%,30%
B,730,75%,72%,780,79%,74%,700,63%,62%,695,67%,66%
C,17,2%,2%,14,1%,0%,21,2%,1%,42,4%,3%
Subject toCAP,11,1%,0%,1,0%,0%,11,1%,0%,16,2%,1%
PR,3,0%,0%,2,0%,0%,21,2%,0%,14,1%,0%
Total,978,100%,100%,991,100%,100%,"1,107",100%,100%,"1,040",100%,100%
Europe (non-EU),No.of suppliers,%of suppliers,%of production,No.of suppliers,%of suppliers,%of production,No.of suppliers,%of suppliers,%of production,No.of suppliers,%of suppliers,%of production
A,53,24%,26%,50,21%,29%,58,27%,37%,76,38%,51%
B,160,72%,69%,170,70%,66%,131,61%,58%,89,45%,41%
C,1,0%,3%,8,3%,2%,10,5%,3%,14,7%,3%
Subject to CAP,8,4%,1%,11,5%,3%,12,5%,1%,18,9%,4%
PR,1,0%,1%,3,1%,0%,4,2%,1%,3,1%,1%
Total,223,100%,100%,242,100%,100%,215,100%,100%,200,100%,100%
