DIRECTTAXES PAID IN THEYEARS 2021-2018(IN MILLION EUROS),DIRECTTAXES PAID IN THEYEARS 2021-2018(IN MILLION EUROS),DIRECTTAXES PAID IN THEYEARS 2021-2018(IN MILLION EUROS),DIRECTTAXES PAID IN THEYEARS 2021-2018(IN MILLION EUROS),DIRECTTAXES PAID IN THEYEARS 2021-2018(IN MILLION EUROS)
Markets,2021,2020,2019,2018
Americas,592,357,623,489
Brazil,90,53,108,100
Canada,50,41,53,43
United States,259,129,213,151
Mexico,141,101,194,136
Others,52,33,55,59
Asia & Rest of the world,257,248,345,359
Australia,15,11,12,10
China,66,79,138,173
South Korea,32,31..,32,27
Japon,51,59,66,64
Kazakhstan,19,121,14,14
Others,74,56,83,71
Spain,780,620,"1,049",928
Spain,780,620,"1,049",928
Europe,794,691,"1,023",988
Germany,26,18.·,32,33
Belgium,9,7,18,35
France,84,117,190,229
Greece,16,12,31,23
The Netherlands,85,117,166,108
Hungary,3,4,4,4
Italy,37,44,75,82
Poland,17,24,22,11
Portugal,14,20,29,46
United Kingdom,120,16,65,72
Romania,6,2,10,13
Russia,124,791,109,9
Switzerland,62,66,94,70
Ukraine,22,16,18,16
Others,169,149,160,150
Direct taxes,"2,423","1,916","3,040","2,764"
TAXES COLLECTED IN 2021-2018(IN MILLION EUROS),TAXES COLLECTED IN 2021-2018(IN MILLION EUROS),TAXES COLLECTED IN 2021-2018(IN MILLION EUROS),TAXES COLLECTED IN 2021-2018(IN MILLION EUROS),TAXES COLLECTED IN 2021-2018(IN MILLION EUROS)
Markets,2021,2020,2019,2018
Americas,318,177,320,271
Brazil,47,34,84,79
Canada,36,23,35,33
United States,166,88,129,107
Mexico,48,22,52,35
Others,21,10,20,17
Asia & Rest of the world,208,144,189,187
Australia,19,17,25,21
China,108,59,96,109
South Korea,12,10,12,12
Japan,40,40,34,28
Kazakhstan,4,3,4,3
Others,25,15,18,14
Spain,721,581,825,764
Spain,721,581,825,764
Europe,"2,423","1,871","2,375","2,180"
Germany,252,189,228,201
Belgium,101,107,99,97
France,360,300,347,324
Greece,107,80,135,124
The Netherlands,113,97,85,86
Hungary,29,23,35,31
Italy,385,246,384,356
Poland,85,82,111,98
Portugal,165,151,203,191
United Kingdom,173,91,132,129
Romania,73,56,78,73
Russia,204,174,191,164
Switzerland,19,15,17,15
Ukraine,14,12,15,9
Others,342,248,315,282
Taxes collected,"3,670","2,773","3,709","3,402"
