2021 Quarterly results,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Net sales,"4,942","6,993","7,390","8,391","4,942","6,993","7,390","8,391"
Cost of sales,"(1,980)","(3,048)","(2,888)","(3,986)","(1,980)","(3,048)","(2,888)","(3,986)"
Gross profit,"2,962","3,945","4,502","4,405","2,962","3,945","4,502","4,405,59.9%,56.4%,60.9%,52.5%"
Operating expenses,"(1,716)","(2,070)","(2,171)","(2,639)","(1,716)","(2,070)","(2,171)","(2,639)"
Other net operating income (losses),(-11),(-9),(-2),(-14),(-11),(-9),(-2),(-14)
Gross operating profit (EBITDA),"1,235","1,866","2,330","1,752","1,235","1,866","2,330","1,752,25.0%,26.7%,31.5%,20.9%"
Amortisation and depreciation,(666),(749),(722),(762),(666),(749),(722),(762)
Operating income (EBIT),569,"1,117","1,607",990,569,"1,117","1,607","990,11.5%,16.0%,21.7%,11.8%"
Financial results,(34),(34),(33),(42),(34),(34),(33),(42)
Results from companies consolidated by equity method,9,16,14,19,9,16,14,19
Income before taxes,544,"1,099","1,588",967,544,"1,099","1,588","967,11.0%,15.7%,21.5%,11.5%"
Taxes,(121),(249),(356),(222),(121),(249),(356),(222)
Net income,423,850,"1,232",745,423,850,"1,232","745,8.5%,12.2%,16.7%,8.9%"
Minorities,1,-,4,2,1,-,4,2
Net income attributable to the controlling company,421,850,"1,228",744,421,850,"1,228","744,8.5%,12.2%,16.6%,8.9%"
