,Total amounts accrued and annual variation,Total amounts accrued and annual variation,Total amounts accrued and annual variation,Total amounts accrued and annual variation,Total amounts accrued and annual variation,Total amounts accrued and annual variation,Total amounts accrued and annual variation,Total amounts accrued and annual variation,Total amounts accrued and annual variation
,Financialyear 2021,Percentagevariation2021/2020,Financialyear 2020,Percentagevariation2020/2019,Financialyear 2019,Percentagevariation2019/2018,Financialyear 2018,Percentagevariation2018/2017,Financialyear 2017
Executive Directors,,,,,,,,,
Mr PABLO ISLA ALVAREZ DETEJERA,"12,443",111%,"5,885",-5%,"6,209",-35%,"9,489",- 11%,"10,690"
Mr OSCAR GARCIA MACEIRAS,746,1,1,：,：,：,-,-,1
Mr CARLOS CRESPOGONZALEZ,"5,763",108%,"2,770",115%,"1,290",-,·,-,-
Non-executive Directors,,,,,,,,,
Mr AMANCIO ORTEGA GAONA,100,0%,100,0%,100,0%,100,0%,100
Mr JOSE ARNAU SIERRA,380,0%,380,15%,330,0%,330,0%,330
"PONTEGADEA INVERSIONES,S.L. (REPRESENTED BY MS.FLORA PEREZ MARCOTE)",100,0%,100,0%,100,0%,100,0%,100
BNS.DENISE PATRICIAKINGSMILL,300,0%,300,20%,250,0%,250,0%,250
Mr JOSE LUIS DURAN SCHULZ,250,-8%,273,-9%,300,0%,300,0%,300
Mr RODRIGO ECHENIQUEGORDILLO,300,0%,300,0%,300,0%,300,0%,300
Ms PILAR LOPEZ ALVAREZ,300,8%,277,11%,250,87%,134,-,
Mr EMILIO SARACHORODRIGUEZ DE TORRES,300,0%,300,0%,300,0%,300,0%,300
Ms ANNE LANGE,250,0%,250,762%,29,1,：,1,1
Consolidated results of thecompany (€ million),"4,199",200%,"1,401",-70%,"4,681",6%,"4,428",2%,"4,351"
Average employeeremuneration (€ thousand),23,27%,18,-15%,22,6%,20%,3%,20%
