(Amounts in millions of euros) (Notes),(Amounts in millions of euros) (Notes),31/01/2022,31/01/2021
ASSETS,ASSETS,,
NON-CURRENT ASSETS,NON-CURRENT ASSETS,"15,343","15,460"
Rights of use (15),Rights of use (15),"5,224","5,477"
Other intangible assets (14),Other intangible assets (14),589,444
Goodwill (16),Goodwill (16),202,201
"Property, plant and equipment (13)","Property, plant and equipment (13)","7,481","7,401"
Investment property,Investment property,21,21
Financial investments (17),Financial investments (17),307,261
Other non-current assets (18）,Other non-current assets (18）,340,380
Deferred tax assets (24),Deferred tax assets (24),"1,179","1,276"
CURRENT ASSETS,CURRENT ASSETS,"13,602","10,957"
Inventories (12),Inventories (12),"3,042","2,321"
Trade and other receivables (11),Trade and other receivables (11),842,715
Income tax receivable (24),Income tax receivable (24),219,257
Other current assets,Other current assets,82,88
Other financial assets (25),Other financial assets (25),22,2
Current financial investments,Current financial investments,"（20） 2,374",176
Cash and cash equivalents (20),Cash and cash equivalents (20),"7,021","7,398"
TOTAL ASSETS,TOTAL ASSETS,"28,945","26,418"
