Markets,2021,2020,2019,2018
Americas,645,(129),359,294
Brazil,61,(30),63,74
Canada,33,（9）,27,17
United States,253,（48),84,50
Mexico,213,（43),146,116
Others,85,1,39,37
Asia & Rest of the world,393,60,657,561
Australia,14,(2）,13,11
China,198,1,375,364
South Korea,34,6,57,24
Japan,44,17,83,56
Kazakhstan,23,14,22,15
Others,80,24,107,91
Spain,"1,083",640,"1,805","1,650"
Spain,"1,083",640,"1,805","1,650"
Europe,"1,785",388,"1,720","1,417"
Germany,44,1,51,14
Belgium,36,（2）,26,83
France,127,28,101,139
Greece,30,15,41,31
The Netherlands,202,9,328,274
Hungary,7,（2）,11,12
Italy,121,（48),93,83
Poland,25,3,44,38
Portugal,62,(1),77,63
United Kingdom,98,30,78,34
Romania,66,31,67,67
Russia,240,86,229,154
Switzerland,409,145,307,257
Ukraine,58,39,54,28
Others,260,54,213,140
Profit before Tax,"3,906",959,"4,541","3,922"
Consolidation,293,442,140,506
Consolidatedprofit/(loss) beforetaxes,"4,199","1,401","4,681","4,428"
