,2021 Quarterly results,2021 Quarterly results,2021 Quarterly results,2021 Quarterly results
Net sales,"Q1 4,942","02 6,993","03 7,390","04 8,391"
Cost of sales,,"(3,048)","(2,888)","(3,986)"
Gross profit,"(1,980)","3,945","4,502","4,405"
,"2,962 59.9%",56.4%,60.9%,52.5%
Operating expenses,,,,
Other net operating income (losses),"(1,716) (11)","(2,070) （9）","(2,171) （2）","(2,639) (14）"
Gross operating profit (EBITDA),"1,235","1,866","2,330","1,752"
,25.0%,26.7%,31.5%,20.9%
Amortisation and depreciation Operating income (EBIT),(666),"（749) 1,117","(722) 1,607",(762)
,569 11.5%,16.0%,21.7%,990 11.8%
Financial results Results from companies consolidated by equity method,(34),(34),(33）,(42)
Income before taxes,9,16,14,19
,544,"1,099","1,588",967
,11.0%,15.7%,21.5%,11.5%
Taxes,(121),(249),(356),(222)
Net income,423 8.5%,850 12.2%,"1,232 16.7%",745
,,,,8.9%
Minorities,1,,4,2
Net income attributable to the controlling company,421,850,"1,228",744
,8.5%,12.2%,16.6%,8.9%
