Market,2021,2020,2019,2018
Spain,251,251,184,322
Albania,0,41,33,38
Germany,14,122,138,0
Argentina,12,11,11,11
Australia and New Zealand,1,19,2,0
Austria,0,25,23,24
Belarus,0,0,0,25
Belgium,3,0,3,0
Bosnia Herzegovina,0,4,16,13
Brazil,3,7,2,0
Bulgaria,0,35,40,39
Canada,0,0,0,43
Chile,1,1,0,13
Mainland China,9,167,164,0
South Korea,0,40,46,1
Croatia,1,3,10,43
Denmark,0,0,0,17
Slovakia,7,16,16,16
Slovenia,2,16,5,40
United States,12,16,0,2
Finland,0,0,0,8
France,15,378,300,0
Greece,158,164,166,165
Hungary,0,39,39,39
India,0,0,0,0
Ireland,0,20,0,13
Italy,476,70,285,287
Japan,1,4,3,3
Kazakhstan,0,2,36,80
Luxembourg,0,0,12,0
North Macedonia,7,0,5,5
Mexico,399,315,116,38
Montenegro,0,0,2,0
Norway,0,0,1,8
The Netherlands,5,0,0,0
Poland,230,245,248,238
Portugal,5,18,0,0
United Kingdom,27,14,0,49
Czech Republic,0,22,0,24
Romania,3,143,0,10
Russia,110,124,0,123
Serbia,0,23,0,26
South Africa,0,0,0,9
Sweden,0,2,0,0
Switzerland,0,40,0,0
Turkey,7,229,0,15
Ukraine,45,0,0,0
Uruguay,4,4,0,4
