DISTRIBUTION OF CORPORATE COMMUNITY INVESTMENT IN 2021By issue addressed,DISTRIBUTION OF CORPORATE COMMUNITY INVESTMENT IN 2021By issue addressed
Emergency relief,36%
Social welfare,31%
Education,12%
"Other (environment, health,economic development,art and culture)",21%
By geographic area,
Europe ex-Spain,14%
Spain,34%
Americas,17%
Asia and rest of the world,35%
By SDG,
SDG 3. Good health and well-being,15%
SDG 4. Quality education,6%
SDG 5.Gender Equality,5%
SDG 8.Decent work and economic growth,9%
SDG 10. Reduced inequality,32%
SDG 12. Responsible consumption and production,21%
Others,12%
