Name,Company,Role,Compensation
Ms Anne Lange,Daimar de Inversiones S.L.,Sole Director,Unpaid
Ms Anne Lange,Pontel Participaciones S.L.,Ordinary member,Unpaid
Ms Anne Lange,Fundación Amancio Ortega Gaona,Second Deputy Chair,Unpaid
Ms Anne Lange,Fundación Kertor,Trustee,Unpaid
Ms Anne Lange,Fundación Santiago Rey Fernández Latorre,Trustee,Unpaid
Ms Anne Lange,Fundación Bal y Gay,Trustee,Unpaid
Ms Anne Lange,"Pernod-Ricard, S.A.",Non-executive director,Paid
Ms Anne Lange,Peugeot Invest,Non-executive director,Paid
Ms Anne Lange,"Orange, S.A.",Non-executive director,Paid
Mr Rodrigo Echenique Gordillo,Banco Santander Chile,Non-executive director,Paid
Mr Rodrigo Echenique Gordillo,Banco Santander Internacional (BSI),Non-executive director,Paid
Mr Rodrigo Echenique Gordillo,Fundación Banco Santander,Chair,Unpaid
Mr Emilio Saracho Rodríguez de Torres,"International Consolidated Airlines Group, S.A.",Independent director,Paid
Mr Emilio Saracho Rodríguez de Torres,"Rustica y Forestal El Socor, S.L.",Chair and CEO,Unpaid
Ms Pilar López Álvarez,Microsoft Western Europe,"VP Sales, Marketing, Ops (COO)",Paid
