"Industria de Diseno Textil,S.A.",Parent,A Coruna- Spain,Full Consol.,31-jan,-,Parent
"Comditel, S.A.",100.00%,Barcelona - Spain,Full Consol.,31-jan,Zara,Buyer
"Zara Asia, Ltd.",100.00%,Hong Kong SAR,Full Consol.,31-jan,Zara,Retail sales
"Choolet, S.A.",100.00%,A Coruna-Spain,Full Consol.,31-jan,Zara,Textile
"Confecciones Fios, S.A.",100.00%,A Coruna-Spain,Full Consol.,31-jan,Zara,Textile
"Confecciones Goa, S.A.",100.00%,A Coruna-Spain,Full Consol.,31-jan,Zara,Textile
"Denllo,S.A.",100.00%,A Coruna- Spain,Full Consol.,31-jan,Zara,Textile
"Hampton, S.A.",100.00%,A Coruna-Spain,Full Consol.,31-jan,Zara,Textile
"Nikole, S.A.",100.00%,A Coruna - Spain,Full Consol.,31-jan,Zara,Buyer
"Stear,S.A.",100.00%,A Coruna- Spain,Full Consol.,31-jan,Zara,Textile
"Trisko, S.A.",100.00%,A Coruna- Spain,Full Consol.,31-jan,Zara,Textile
"Zintura, S.A.",100.00%,A Coruna - Spain,Full Consol.,31-jan,Zara,Textile
"Glencare, S.A.",100.00%,A Coruna - Spain,Full Consol.,31-jan,Zara,Textile
"Indipunt, S.L.",100.00%,A Coruna-Spain,Full Consol.,31-jan,Multi-concept,Logistics
"Zara Espana, S.A.",100.00%,A Coruna- Spain,Full Consol.,31-jan,Zara,Retail sales
"Zara Argentina, S.A.",100.00%,Buenos Aires-Argentina,Full Consol.,31-jan,Zara,Retail sales
"Zara Belgique, S.A.",100.00%,Brussels-Belgium,Full Consol.,31-jan,Zara,Retail sales
"Zara Chile, S.A.",100.00%,Santiago de Chile - Chile,Full Consol.,31-dec,Zara,Retailsales
"Zara USA,Inc.",100.00%,New York- USA,Full Consol.,31-jan,Zara,Retail sales
"Zara France, S.A.R.L.",100.00%,Paris-France,Full Consol.,31-jan,Zara,Retailsales
ITXUK LTD.,100.00%,London- UK,Full Consol.,31-jan,Multi-concept,Retail sales
"Zara Mexico, B.V.",100.00%,Amsterdam - Netherlands,Full Consol.,31-jan,Zara,Holding company
ITX HELLAS SINGLE MEMBER S.A.,100.00%,Athens- Greece,Full Consol.,31-jan,Multi-concept,Retail sales
"Zara Mexico,S.A. de C.V.",100.00%,Mexico City- Mexico,Full Consol.,31-dec,Zara,Retail sales
"ITX PORTUGAL - CONFECCOES, S.A.",100.00%,Lisbon - Portugal,Full Consol.,31-jan,Multi-concept,Retailsales
"G.Zara Uruguay, S.A.",100.00%,Montevideo - Uruguay,Full Consol.,31-jan,Zara,Retail sales
"Zara Brasil, LTDA",100.00%,Sao Paulo - Brazil,Full Consol.,31-dec,Zara,Retailsales
ITX NEDERLAND BV,100.00%,Amsterdam - Netherlands,Full Consol.,31-jan,Multi-concept,Retail sales
"Zara Osterreich Clothing, GmbH",100.00%,Vienna - Austria,Full Consol.,31-jan,Zara,Retail sales
"Inditex Danmark, AS.",100.00%,Copenhaguen - Denmark,Full Consol.,31-jan,Multi-concept,Retail sales
ITX SVERIGEAB,100.00%,Stockholm - Sweden,Full Consol.,31-jan,Multi-concept,Retail sales
"Inditex Norge, AS.",100.00%,Oslo-Norway,Full Consol.,31-jan,Multi-concept,Retail sales
"ITX CANADA, LTD",100.00%,Montreal-Canada,Full Consol.,31-jan,Multi-concept,Retail sales
"Zara Suisse, S.A.R.L.",100.00%,Fribourg-Switzerland,Full Consol.,31-jan,Zara,Retail sales
Za Giyim Ithalat Ihracat Ve Ticaret Ltd.,100.00%,Istanbul - Turkey,Full Consol.,31-jan,Zara,Retailsales
ITX ITALIA SRL,100.00%,Milan - Italy,Full Consol.,31-jan,Multi-concept,Retail sales
"ITX Japan Corp. INDITEX CESKA REPUBLIKA, S.R.O",100.00%,Tokyo - Japan,Full Consol.,31-jan,Multi-concept,Retail sales
,100.00%,Prague- Czech Republic,Full Consol.,31-jan,Multi-concept,Retail sales
"Zara Puerto Rico,Inc.",100.00%,San Juan - Puerto Rico,Full Consol.,31-jan,Zara,Retail sales
ITX RETAILIRELAND LIMITED,100.00%,Dublin - Ireland,Full Consol.,31-jan,Multi-concept,Retail sales
"Zara Magyarorszag, KFT.",100.00%,Budapest - Hungary,Full Consol.,31-jan,Zara,Retail sales
"Zara Holding, B.V.",100.00%,Amsterdam - Netherlands,Full Consol.,31-jan,Multi-concept,Holding company
