Output indicators,2021,2020,2019,2018,2018-2021 change
Number of hours spent by employees on social initiatives during working hours,"206,087","178,035","122,284","118,077",75%
Number of social initiatives implemented,725,703,670,622,17%
Number of garments donated to social causes,"5,899,270","4,114,490","3,164,804","3,225,462",83%
Number of direct beneficiaries,"2,217,342","3,313,581","2,441,300","2,425,639",-9%
Number of community organisations supported,427,439,421,413,3%
Number of children with access to education,"19,556","31,054","43,443","48,794",
Number of people receiving professional training,"14,546","14,399","26,763","32,514",
"Number of migrants, refugees and displaced persons served","188,054","172,160","405,335","952,935",
Number of people receiving medical care,"1,348,727","732,601","930,223","1,078,634",
Number of jobs created among beneficiaries of community investment projects,"5,391","5,524","11,288","16,437",
Number of people accessing water and sanitation,"583,426","359,675","361,978","553,653",
