2021,2020,2019,2018
Albania,249,221,"243,263"
Germany,4684,4753,"5531,5874"
Austria,1334,1253,"1455,1477"
Belgium,2929,2562,"2945,2818"
Belarus,350,278,"290,298"
Bosnia-Herzegovina,369,314,"424,360"
Bulgaria,663,600,"716,733"
Croatia,1041,923,"1160,1078"
Denmark,309,292,"329,335"
Slovakia,443,305,"359,302"
Slovenia,235,235,"276,267"
Finland,240,249,"260,269"
France,10315,8729,"10030,9414"
Greece,4004,3639,"4278,4014"
Hungary,1116,818,"1126,1067"
Ireland,958,743,"854,882"
Italy,8794,6890,"8626,8600"
Kosovo,245,215,"211,157"
Luxembourg,325,300,"318,179"
North Macedonia,289,132,"154,155"
Monaco,39,39,"39,36"
Montenegro,143,99,"128,123"
Norway,392,363,"386,383"
Netherlands,2701,2536,"3018,2856"
Poland,4239,4040,"4679,4617"
Portugal,6572,5050,"7247,7001"
United Kingdom,6547,4398,"5429,5486"
Czech Republic,605,505,"700,643"
Romania,2532,2238,"3027,2864"
Russia,10148,9119,"10696,10365"
Serbia,894,656,"736,742"
Sweden,754,736,"844,833"
Switzerland,1479,1478,"1564,1506"
Turkey,5258,3956,"5166,4896"
Ukraine,1424,1170,"1390,1326"
Total,82619,69834,"84634,82219"
