Worker participation,Living wages,"Gender, diversity and inclusion",Occupational health and safety,Protection of migrants and refugees,Social protection,labour rights in the production of raw materials
Fair and favourable working conditions,,,,,,
Non-discrimination,,,0,,,
Adequate standard of living,,,0,,,0
Education,日,,0,,,0
Health,,,0,D,,D
Life,日,,0,?,,
Not being subject to degrading treatment,,,D,,,
Not having to endure harassment,,,0,,,
Equal pay,,,0,,,
Freedom of movement,,,0,,,
Freedom and security of the person,,,0,,,
Engagement in public life,,,0,,,
Rights of employees with disabilities,,,0,,,
Reproductive rights,,,0,,,
Freedom of association,O,,V,,,D
Healthy environment,,,,,,0
Ban on forced labour,,,,,,?
Collective bargaining,,√,,,,
Collective rights of communities,,,,,,
Social protection,,,,,,
"Freedom of thought, conscience and religion",,,,,,>
Privacy,,,,,√,D
Protection against violence,,,,,D,D
Healthcare,,,,,0,√
Freedom of opinion and expression,,,,,0,0
Property,√,,,√,,0
