Balance at 01/02/2020,Lease incentives,Other,Total
Balance at 01/02/2020,291,89,380
Acquisitions,37,,37
Changes through profit or loss,(19),27,8
Disposals,-,-,-
Transfers,(105),(18),(123)
Foreign exchange translation differences,(23),,(23)
Balance at 31/01/2021,182,98,280
Balance at 01/02/2021,182,98,280
Acquisitions,86,,86
Changes through profit or loss,(7),17,10
Disposals,-,-,-
Transfers,(103),(21),(124)
Foreign exchange translation differences,(4),,(4)
Balance at 31/01/2022,154,94,248
