"GRI Page number(s), URL External Global CompactOmissionsDisclosure Standard and/or direct answer Assurance principleQUALITY OF EMPLOYMENT","GRI Page number(s), URL External Global CompactOmissionsDisclosure Standard and/or direct answer Assurance principleQUALITY OF EMPLOYMENT","GRI Page number(s), URL External Global CompactOmissionsDisclosure Standard and/or direct answer Assurance principleQUALITY OF EMPLOYMENT","GRI Page number(s), URL External Global CompactOmissionsDisclosure Standard and/or direct answer Assurance principleQUALITY OF EMPLOYMENT","GRI Page number(s), URL External Global CompactOmissionsDisclosure Standard and/or direct answer Assurance principleQUALITY OF EMPLOYMENT","GRI Page number(s), URL External Global CompactOmissionsDisclosure Standard and/or direct answer Assurance principleQUALITY OF EMPLOYMENT","GRI Page number(s), URL External Global CompactOmissionsDisclosure Standard and/or direct answer Assurance principleQUALITY OF EMPLOYMENT","GRI Page number(s), URL External Global CompactOmissionsDisclosure Standard and/or direct answer Assurance principleQUALITY OF EMPLOYMENT","GRI Page number(s), URL External Global CompactOmissionsDisclosure Standard and/or direct answer Assurance principleQUALITY OF EMPLOYMENT",,,,
GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,GRI 103: MANAGEMENT APPROACH 2016,,,,
,103-1 Explanation of thematerial topic and itsBoundary,"225-227,536-539","225-227,536-539","225-227,536-539","225-227,536-539",,,,,,,
,103-2 The managementapproach and itscomponents,"251-261,231-240,353-360,453-456","251-261,231-240,353-360,453-456","251-261,231-240,353-360,453-456","251-261,231-240,353-360,453-456",,,,,,,
,103-3 Evaluation of themanagement approach,"231,251-254,358,456","231,251-254,358,456","231,251-254,358,456","231,251-254,358,456",,,,,,,
GRI 401: EMPLOYMENT 2016,GRI 401: EMPLOYMENT 2016,GRI 401: EMPLOYMENT 2016,GRI 401: EMPLOYMENT 2016,GRI 401: EMPLOYMENT 2016,GRI 401: EMPLOYMENT 2016,GRI 401: EMPLOYMENT 2016,GRI 401: EMPLOYMENT 2016,GRI 401: EMPLOYMENT 2016,,,,
,401-1 New employeehires and employeeturnover,"Turnover at the InditexGroup,including voluntarydepartures,was 47.9%(47.5% among women and49.2% among men). By agecategory,turnover was74.9% among the under30s,18% among thoseaged between 30 and 40;and 7.8% for those over theage of 40.Turnover varied considerablyby region,reaching 100.2%in the Americas,Followed byAsia with a 95.7%,45% inEurope (excluding Spain);and 14.2% in Spain.In 2021, hires total 20,926,of which 75% are womenand 25% are men.87% ofthe hires are under the age of30,1% are aged between 30and 40,and 12% are over40.Most of them took placein Europe (excluding Spain),with 61%; followed by Spain,accounting for the 28% ofthe new employees.","Turnover at the InditexGroup,including voluntarydepartures,was 47.9%(47.5% among women and49.2% among men). By agecategory,turnover was74.9% among the under30s,18% among thoseaged between 30 and 40;and 7.8% for those over theage of 40.Turnover varied considerablyby region,reaching 100.2%in the Americas,Followed byAsia with a 95.7%,45% inEurope (excluding Spain);and 14.2% in Spain.In 2021, hires total 20,926,of which 75% are womenand 25% are men.87% ofthe hires are under the age of30,1% are aged between 30and 40,and 12% are over40.Most of them took placein Europe (excluding Spain),with 61%; followed by Spain,accounting for the 28% ofthe new employees.","Turnover at the InditexGroup,including voluntarydepartures,was 47.9%(47.5% among women and49.2% among men). By agecategory,turnover was74.9% among the under30s,18% among thoseaged between 30 and 40;and 7.8% for those over theage of 40.Turnover varied considerablyby region,reaching 100.2%in the Americas,Followed byAsia with a 95.7%,45% inEurope (excluding Spain);and 14.2% in Spain.In 2021, hires total 20,926,of which 75% are womenand 25% are men.87% ofthe hires are under the age of30,1% are aged between 30and 40,and 12% are over40.Most of them took placein Europe (excluding Spain),with 61%; followed by Spain,accounting for the 28% ofthe new employees.","Turnover at the InditexGroup,including voluntarydepartures,was 47.9%(47.5% among women and49.2% among men). By agecategory,turnover was74.9% among the under30s,18% among thoseaged between 30 and 40;and 7.8% for those over theage of 40.Turnover varied considerablyby region,reaching 100.2%in the Americas,Followed byAsia with a 95.7%,45% inEurope (excluding Spain);and 14.2% in Spain.In 2021, hires total 20,926,of which 75% are womenand 25% are men.87% ofthe hires are under the age of30,1% are aged between 30and 40,and 12% are over40.Most of them took placein Europe (excluding Spain),with 61%; followed by Spain,accounting for the 28% ofthe new employees.",,√Pg.143-145,Principle 6,,,,
,401-1 New employeehires and employeeturnover,"Turnover at the InditexGroup,including voluntarydepartures,was 47.9%(47.5% among women and49.2% among men). By agecategory,turnover was74.9% among the under30s,18% among thoseaged between 30 and 40;and 7.8% for those over theage of 40.Turnover varied considerablyby region,reaching 100.2%in the Americas,Followed byAsia with a 95.7%,45% inEurope (excluding Spain);and 14.2% in Spain.In 2021, hires total 20,926,of which 75% are womenand 25% are men.87% ofthe hires are under the age of30,1% are aged between 30and 40,and 12% are over40.Most of them took placein Europe (excluding Spain),with 61%; followed by Spain,accounting for the 28% ofthe new employees.","Turnover at the InditexGroup,including voluntarydepartures,was 47.9%(47.5% among women and49.2% among men). By agecategory,turnover was74.9% among the under30s,18% among thoseaged between 30 and 40;and 7.8% for those over theage of 40.Turnover varied considerablyby region,reaching 100.2%in the Americas,Followed byAsia with a 95.7%,45% inEurope (excluding Spain);and 14.2% in Spain.In 2021, hires total 20,926,of which 75% are womenand 25% are men.87% ofthe hires are under the age of30,1% are aged between 30and 40,and 12% are over40.Most of them took placein Europe (excluding Spain),with 61%; followed by Spain,accounting for the 28% ofthe new employees.","Turnover at the InditexGroup,including voluntarydepartures,was 47.9%(47.5% among women and49.2% among men). By agecategory,turnover was74.9% among the under30s,18% among thoseaged between 30 and 40;and 7.8% for those over theage of 40.Turnover varied considerablyby region,reaching 100.2%in the Americas,Followed byAsia with a 95.7%,45% inEurope (excluding Spain);and 14.2% in Spain.In 2021, hires total 20,926,of which 75% are womenand 25% are men.87% ofthe hires are under the age of30,1% are aged between 30and 40,and 12% are over40.Most of them took placein Europe (excluding Spain),with 61%; followed by Spain,accounting for the 28% ofthe new employees.","Turnover at the InditexGroup,including voluntarydepartures,was 47.9%(47.5% among women and49.2% among men). By agecategory,turnover was74.9% among the under30s,18% among thoseaged between 30 and 40;and 7.8% for those over theage of 40.Turnover varied considerablyby region,reaching 100.2%in the Americas,Followed byAsia with a 95.7%,45% inEurope (excluding Spain);and 14.2% in Spain.In 2021, hires total 20,926,of which 75% are womenand 25% are men.87% ofthe hires are under the age of30,1% are aged between 30and 40,and 12% are over40.Most of them took placein Europe (excluding Spain),with 61%; followed by Spain,accounting for the 28% ofthe new employees.",,√Pg.143-145,Principle 6,owedby,owedby,by,by
,401-1 New employeehires and employeeturnover,"Turnover at the InditexGroup,including voluntarydepartures,was 47.9%(47.5% among women and49.2% among men). By agecategory,turnover was74.9% among the under30s,18% among thoseaged between 30 and 40;and 7.8% for those over theage of 40.Turnover varied considerablyby region,reaching 100.2%in the Americas,Followed byAsia with a 95.7%,45% inEurope (excluding Spain);and 14.2% in Spain.In 2021, hires total 20,926,of which 75% are womenand 25% are men.87% ofthe hires are under the age of30,1% are aged between 30and 40,and 12% are over40.Most of them took placein Europe (excluding Spain),with 61%; followed by Spain,accounting for the 28% ofthe new employees.","Turnover at the InditexGroup,including voluntarydepartures,was 47.9%(47.5% among women and49.2% among men). By agecategory,turnover was74.9% among the under30s,18% among thoseaged between 30 and 40;and 7.8% for those over theage of 40.Turnover varied considerablyby region,reaching 100.2%in the Americas,Followed byAsia with a 95.7%,45% inEurope (excluding Spain);and 14.2% in Spain.In 2021, hires total 20,926,of which 75% are womenand 25% are men.87% ofthe hires are under the age of30,1% are aged between 30and 40,and 12% are over40.Most of them took placein Europe (excluding Spain),with 61%; followed by Spain,accounting for the 28% ofthe new employees.","Turnover at the InditexGroup,including voluntarydepartures,was 47.9%(47.5% among women and49.2% among men). By agecategory,turnover was74.9% among the under30s,18% among thoseaged between 30 and 40;and 7.8% for those over theage of 40.Turnover varied considerablyby region,reaching 100.2%in the Americas,Followed byAsia with a 95.7%,45% inEurope (excluding Spain);and 14.2% in Spain.In 2021, hires total 20,926,of which 75% are womenand 25% are men.87% ofthe hires are under the age of30,1% are aged between 30and 40,and 12% are over40.Most of them took placein Europe (excluding Spain),with 61%; followed by Spain,accounting for the 28% ofthe new employees.","Turnover at the InditexGroup,including voluntarydepartures,was 47.9%(47.5% among women and49.2% among men). By agecategory,turnover was74.9% among the under30s,18% among thoseaged between 30 and 40;and 7.8% for those over theage of 40.Turnover varied considerablyby region,reaching 100.2%in the Americas,Followed byAsia with a 95.7%,45% inEurope (excluding Spain);and 14.2% in Spain.In 2021, hires total 20,926,of which 75% are womenand 25% are men.87% ofthe hires are under the age of30,1% are aged between 30and 40,and 12% are over40.Most of them took placein Europe (excluding Spain),with 61%; followed by Spain,accounting for the 28% ofthe new employees.",,√Pg.143-145,Principle 6,5%in,5%in,,
,401-2 Benefits providedto full-time employees thatare not provided totemporary or part-timeemployees,The Group provides the same benefits totemporary and part-tmeworkers as it does to full-time workers.,The Group provides the same benefits totemporary and part-tmeworkers as it does to full-time workers.,The Group provides the same benefits totemporary and part-tmeworkers as it does to full-time workers.,The Group provides the same benefits totemporary and part-tmeworkers as it does to full-time workers.,,,,,,,
