"GRI Page number(s), URL External Global CompactOmissionsDisclosureStandard and/or direct answer Assurance principleGRI 407: FREEDOM OF ASSOCIATION AND COLLECTIVE BARGAINING 2016","GRI Page number(s), URL External Global CompactOmissionsDisclosureStandard and/or direct answer Assurance principleGRI 407: FREEDOM OF ASSOCIATION AND COLLECTIVE BARGAINING 2016","GRI Page number(s), URL External Global CompactOmissionsDisclosureStandard and/or direct answer Assurance principleGRI 407: FREEDOM OF ASSOCIATION AND COLLECTIVE BARGAINING 2016","GRI Page number(s), URL External Global CompactOmissionsDisclosureStandard and/or direct answer Assurance principleGRI 407: FREEDOM OF ASSOCIATION AND COLLECTIVE BARGAINING 2016","GRI Page number(s), URL External Global CompactOmissionsDisclosureStandard and/or direct answer Assurance principleGRI 407: FREEDOM OF ASSOCIATION AND COLLECTIVE BARGAINING 2016","GRI Page number(s), URL External Global CompactOmissionsDisclosureStandard and/or direct answer Assurance principleGRI 407: FREEDOM OF ASSOCIATION AND COLLECTIVE BARGAINING 2016","GRI Page number(s), URL External Global CompactOmissionsDisclosureStandard and/or direct answer Assurance principleGRI 407: FREEDOM OF ASSOCIATION AND COLLECTIVE BARGAINING 2016","GRI Page number(s), URL External Global CompactOmissionsDisclosureStandard and/or direct answer Assurance principleGRI 407: FREEDOM OF ASSOCIATION AND COLLECTIVE BARGAINING 2016","GRI Page number(s), URL External Global CompactOmissionsDisclosureStandard and/or direct answer Assurance principleGRI 407: FREEDOM OF ASSOCIATION AND COLLECTIVE BARGAINING 2016","GRI Page number(s), URL External Global CompactOmissionsDisclosureStandard and/or direct answer Assurance principleGRI 407: FREEDOM OF ASSOCIATION AND COLLECTIVE BARGAINING 2016",,
,407-1 Operations and suppliers in which the right,"194,339,315-355,427-429","194,339,315-355,427-429","194,339,315-355,427-429",,,,,Principle 3,,
,407-1 Operations and suppliers in which the right,"194,339,315-355,427-429","194,339,315-355,427-429","194,339,315-355,427-429",429,429,,,,,
,to freedom of associationand collective bargainingmay be at risk,Inditex's Code of Code ofConduct and Responsible,Inditex's Code of Code ofConduct and Responsible,Inditex's Code of Code ofConduct and Responsible,Inditex's Code of Code of,,,,,,
,to freedom of associationand collective bargainingmay be at risk,Inditex's Code of Code ofConduct and Responsible,Inditex's Code of Code ofConduct and Responsible,Inditex's Code of Code ofConduct and Responsible,,,,,,,
,to freedom of associationand collective bargainingmay be at risk,Practices specifically,Practices specifically,Practices specifically,,,,,,,
,,addresses the right to,addresses the right to,addresses the right to,,,,,,,
,,"freedom of association andcollective bargaining.ThatCode applies to all of theGroup's operations.TheCode of Conduct forManufacturers andSuppliers,which applies toall of the Group's suppliers,also enshrinesthis right.The programmefor supervising compliancewith Inditex's Code ofConduct for Manufacturersand Suppliers assessescompliance with workers'right to freedom ofassociation.","freedom of association andcollective bargaining.ThatCode applies to all of theGroup's operations.TheCode of Conduct forManufacturers andSuppliers,which applies toall of the Group's suppliers,also enshrinesthis right.The programmefor supervising compliancewith Inditex's Code ofConduct for Manufacturersand Suppliers assessescompliance with workers'right to freedom ofassociation.","freedom of association andcollective bargaining.ThatCode applies to all of theGroup's operations.TheCode of Conduct forManufacturers andSuppliers,which applies toall of the Group's suppliers,also enshrinesthis right.The programmefor supervising compliancewith Inditex's Code ofConduct for Manufacturersand Suppliers assessescompliance with workers'right to freedom ofassociation.",,,,,,,
,,"freedom of association andcollective bargaining.ThatCode applies to all of theGroup's operations.TheCode of Conduct forManufacturers andSuppliers,which applies toall of the Group's suppliers,also enshrinesthis right.The programmefor supervising compliancewith Inditex's Code ofConduct for Manufacturersand Suppliers assessescompliance with workers'right to freedom ofassociation.","freedom of association andcollective bargaining.ThatCode applies to all of theGroup's operations.TheCode of Conduct forManufacturers andSuppliers,which applies toall of the Group's suppliers,also enshrinesthis right.The programmefor supervising compliancewith Inditex's Code ofConduct for Manufacturersand Suppliers assessescompliance with workers'right to freedom ofassociation.","freedom of association andcollective bargaining.ThatCode applies to all of theGroup's operations.TheCode of Conduct forManufacturers andSuppliers,which applies toall of the Group's suppliers,also enshrinesthis right.The programmefor supervising compliancewith Inditex's Code ofConduct for Manufacturersand Suppliers assessescompliance with workers'right to freedom ofassociation.",,,,,,,
,,"freedom of association andcollective bargaining.ThatCode applies to all of theGroup's operations.TheCode of Conduct forManufacturers andSuppliers,which applies toall of the Group's suppliers,also enshrinesthis right.The programmefor supervising compliancewith Inditex's Code ofConduct for Manufacturersand Suppliers assessescompliance with workers'right to freedom ofassociation.","freedom of association andcollective bargaining.ThatCode applies to all of theGroup's operations.TheCode of Conduct forManufacturers andSuppliers,which applies toall of the Group's suppliers,also enshrinesthis right.The programmefor supervising compliancewith Inditex's Code ofConduct for Manufacturersand Suppliers assessescompliance with workers'right to freedom ofassociation.","freedom of association andcollective bargaining.ThatCode applies to all of theGroup's operations.TheCode of Conduct forManufacturers andSuppliers,which applies toall of the Group's suppliers,also enshrinesthis right.The programmefor supervising compliancewith Inditex's Code ofConduct for Manufacturersand Suppliers assessescompliance with workers'right to freedom ofassociation.",,,,,,,
