GRI Standard,Disclosure,"Page number(s), URL and/or direct answer",Omissions,External Assurance,Global Compact principle
OTHER DISCLOSURES: OCCUPATIONAL HEALTH AND SAFETY,,,,,
"AF31 Initiatives and programs to respond to, reduce, and prevent the occurrence of musculoskeletal disorders","261, 263-264",,,,
TALENT MANAGEMENT,,,,,
GRI 103: MANAGEMENT APPROACH 2016,,,,,
103-1 Explanation of the material topic and its Boundary,"225-227, 536-539",,,,
103-2 The management approach and its components,243-251,,,,
103-3 Evaluation of the management approach,"159-161, 231, 246-248",,,,
GRI 404: TRAINING AND EDUCATION 2016,,,,,
404-1 Average hours of training per year per employee,245-248,Training hours averaged 14.2 hours per employee in 2021 (13.9 hours for female employees and 15.2 hours for male employees). The data pertaining to the number of training hours broken down by gender is available for all markets representing 100% of the Group's employees.,√,Pg. 143-145,Principle 6
404-2 Programs for upgrading employee skills and transition assistance programs,"229-230, 232-239, 243-244, 248-250","94% of Group employees are under the age of 45, such that the Group does not face the prospect of having to deploy programmes for upgrading employee skills or transition assistance programmes in the near future.",,,
