Amounts in millions of euros,Notes,31/01/2022,31/01/2021,31/01/2022,31/01/2021
ASSETS,,15343,15460,15343,15460
,Rights of use,15,5224,5477,5477
,Other intangible assets,14,589,444,444
,Goodwill,16,202,201,201
,"Property, plant and equipment",13,7481,7401,7401
,Investment property,,21,21,21
,Financial investments,17,307,261,261
,Other non-current assets,18,340,380,380
,Deferred tax assets,24,1179,1276,1276
,CURRENT ASSETS,,13602,10957,13602
,Inventories,12,3042,2321,"3042,2321"
,Trade and other receivables,11,842,715,"842,715"
,Income tax receivable,24,219,257,"219,257"
,Other current assets,,82,88,"82,88"
,Other financial assets,25,22,2,"22,2"
,Current financial investments,20,2374,176,"2374,176"
,Cash and cash equivalents,20,7021,7398,"7021,7398"
,TOTAL ASSETS,,28945,26418,28945
