2021,2021,2021,2020,2020,2019,2019
,Training hours,Participants,Training hours,Participants,Training hours,Participants
Corporate (About us),"675,216","241,322","252,570","168,746","1,358,388","131,289"
Customer,"74,634",39.021,"35,241","25,420",,
Fashion and Product,"49,768","62,975","124,328",,"106,818","102,982"
,"73,666",,,"88,236",,2.536
Languages,,"18,737","52,617","2,433","52,033",
"Processes, Techniques &Tools","1,313,940 155,150","155,757 34,068","488,963 47,132","55,992","475,668","60,701"
Skils,,,,"30,778","1,096,383","63,742"
Total,"2,342,373","551,880","1,000,851","371,605","3,089,290","361,250"
