,2021,2020,2019,2018
Albania,249,221,243,263
Germany,"4,684",4753,"5,531","5,874"
Austria,1334,"1,253","1,455","1,477"
Belgium,2.929,"2,562",2.945,2.818
Belarus,350,278,290,298
Bosnia-Herzegovina,369,314,424,360
Bulgaria,663,600,716,733
Croatia,"1,041",923,"1,160","1,078"
Denmark,309,292,329,335
Slovakia,443,305,359,302
Slovenia,235,235,276,267
Finland,240,249,260,269
France,"10,315","8,729",10.030,"9,414"
Greece,"4,004","3,639","4,278",4014
Hungary,"1,116",818,"1,126","1,067"
Ireland,958,743,854,882
Italy,8.794,"6,890","8,626","8,600"
Kosovo,245,215,211,157
Luxembourg,325,300,318,179
NorthMacedonia,289,132,154,155
Monaco,39,39,39,36
Montenegro,143,99,128,123
Norway,392,363,386,383
Netherlands,"2,701","2,536","3,018","2,856"
Poland,"4,239","4,040","4,679","4,617"
Portugal,"6,572","5,050","7,247","7,001"
United Kingdom,"6,547",4398,"5,429","5,486"
Czech Republic,605,505,700,643
Romania,"2,532","2,238","3,027","2,864"
Russia,"10,148","9,119","10,696","10,365"
Serbia,894,656,736,742
Sweden,754,736,844,833
Switzerland,"1,479","1,478","1,564","1,506"
Turkey,"5,258","3,956","5,166","4,896"
Ukraine,"1,424","1,170","1,390","1,326"
Total,"82,619 69,834 84634 82,219",,,
