"GRI Page number(s), URLDisclosure and/or direct answerStandard","GRI Page number(s), URLDisclosure and/or direct answerStandard","GRI Page number(s), URLDisclosure and/or direct answerStandard","GRI Page number(s), URLDisclosure and/or direct answerStandard","GRI Page number(s), URLDisclosure and/or direct answerStandard","GRI Page number(s), URLDisclosure and/or direct answerStandard",Omissions,Omissions,Omissions,Omissions,Omissions,ExternalAssurance,ExternalAssurance,Global Compactprinciple,,,
,306-5 Waste directed todisposal,306-5 Waste directed todisposal,396,396,396,The Company's,The Company's,The Company's,The Company's,The Company's,,,Principle 8,,,
,306-5 Waste directed todisposal,306-5 Waste directed todisposal,,,,,systems are not,systems are not,systems are not,systems are not,systems are not,√Pg.143-145,√Pg.143-145,,,
,306-5 Waste directed todisposal,306-5 Waste directed todisposal,,,,currently capable,currently capable,currently capable,currently capable,currently capable,,,,,,
,306-5 Waste directed todisposal,306-5 Waste directed todisposal,,,,of producing,of producing,of producing,of producing,of producing,,,,,,
,306-5 Waste directed todisposal,306-5 Waste directed todisposal,,,,,disclosures about,disclosures about,disclosures about,disclosures about,disclosures about,√Pg.143-145,√Pg.143-145,,,
,306-5 Waste directed todisposal,306-5 Waste directed todisposal,,,,,the waste directedto disposal in its proprietary storeswith the level ofdetail required.Inditex has anumber of projectsunderway with theaim of being able to comply with thisdisclosurerequirement by2023.,the waste directedto disposal in its proprietary storeswith the level ofdetail required.Inditex has anumber of projectsunderway with theaim of being able to comply with thisdisclosurerequirement by2023.,the waste directedto disposal in its proprietary storeswith the level ofdetail required.Inditex has anumber of projectsunderway with theaim of being able to comply with thisdisclosurerequirement by2023.,the waste directedto disposal in its proprietary storeswith the level ofdetail required.Inditex has anumber of projectsunderway with theaim of being able to comply with thisdisclosurerequirement by2023.,the waste directedto disposal in its proprietary storeswith the level ofdetail required.Inditex has anumber of projectsunderway with theaim of being able to comply with thisdisclosurerequirement by2023.,√Pg.143-145,√Pg.143-145,,,
,306-5 Waste directed todisposal,306-5 Waste directed todisposal,,,,,,,,,,,,,,
,306-5 Waste directed todisposal,306-5 Waste directed todisposal,,,,Inditex has anumber of projects,Inditex has anumber of projects,Inditex has anumber of projects,Inditex has anumber of projects,the waste directedto disposal in its proprietary storeswith the level ofdetail required.Inditex has anumber of projectsunderway with theaim of being able to comply with thisdisclosurerequirement by2023.,the waste directedto disposal in its proprietary storeswith the level ofdetail required.Inditex has anumber of projectsunderway with theaim of being able to comply with thisdisclosurerequirement by2023.,√Pg.143-145,√Pg.143-145,,,
,306-5 Waste directed todisposal,306-5 Waste directed todisposal,,,,Inditex has anumber of projects,Inditex has anumber of projects,Inditex has anumber of projects,Inditex has anumber of projects,the waste directedto disposal in its proprietary storeswith the level ofdetail required.Inditex has anumber of projectsunderway with theaim of being able to comply with thisdisclosurerequirement by2023.,the waste directedto disposal in its proprietary storeswith the level ofdetail required.Inditex has anumber of projectsunderway with theaim of being able to comply with thisdisclosurerequirement by2023.,√Pg.143-145,√Pg.143-145,Indite,Indite,
,306-5 Waste directed todisposal,306-5 Waste directed todisposal,,,,texhas,texhas,,,,,,,,,
