,,,,Pseudoephedri,Pseudoephedri,Pseudoephedri
Country or territory,Ephedrine,Ephedrine preparations,,Pseudoephedrine,nepreparations,"3,4-MDP-2-Pa P-2-p"
Afghanistan,0,40,0,2 000,0,0
Albania,45,0,5,0,0,0
Algeria,20,,17 000,,0,1
Argentina,45,0,25 098,175,0,0
Armenia,0,0,0,0,0,0
Ascension Island,0,0,0,0,0,0
Australia,5,8,4 800,1680,0,1
Austria,130,1,1,1,1,1
Azerbajan,20,,10,,0,0
Bahrain,1,10,1,850,0,0
Bangladesh,200,,0,,0,0
Barbados,200,,200,58,0i,
Belarus,0,25,20,20,0,0
Belgium,600,100,9000,8000,0,5
Belize,,,P,P,0i,
Benin,2,3,8,22,0i,
Bhutan,0,0,0,0,0,0
Bolivia,25,1,600,755,0,0
Bosnia and Herzegovina,1,2,1810,1532,0,0
Botswana,300,,,,0i,
Brazil,1200℃,0,33 000,0,0,0
Brunei Darussalam,0,1,0,16,0,0
Bulgaria,1098,296,20,0,0,0
Burundi,,5,,15,0i,
Cabo Verde,0,1,0,0,0,0
Cambodia,200,50,300,900,0i,
Cameroon,25,,,1,0i,
Canada,7000,10,30 000,25000,1,1
Chile,30,0,5500,560,0,0
China,24 000,,86 000,,0i,
Hong Kong SAR of China,2 500,0,10 149,0,0,0
Macao SAR of China,1,10,1,159,0,0
Christmas Island,0,0,0,1,0,0
Cocos (Keeling) Islands,0,0,0,0,0,0
Colombia,0d,0,3300 d,P,0,0
Cook Islands,0,0,0,1,0,0
Costa Rica,0,0,869,109,0,0
Cote d'lvoire,30,1,0,400,0,0
Croatia,50,1,5,1,1,1
Cuba,200,,,6,0i,
Curacao,0,,0,,0,0
Cyprus,10,10,600,300,0,0
Czech Republic,264,5,525,385,0,0
Democratic People's,,,,,,
Republic of Korea,50,1200,,,2,
Democratic Republic of,,,,,,
the Congo,275,8,720,487,0i,
Denmark,,,,,0,0
Dominican Republic,75,6,315,350,0,0
Ecuador,10,6,900,1500,0,0
Egypt,4500,0,63 000,2 500,0,0
El Salvador,P(6)f,P(6)f,P,P,0,0
