,2009,2010,2011,2012,2013,2014,2015,2016,2017
Opium*,,,,,,,,,
Afghanistan,5.300,3.200,"4,400","4,300","5,500","6,300","4,100",5.800,"9,140"
Burma,305,530,450,,795,900,,834,
Colombia,22,,,,,20,24,,
Guatemala,,,,4,6,14,6,7,InProcess
Laos,12,23,57,,,,,91,
Mexico,,,250,220,225,360,600,685,944
Pakistan,26,,,28,220,105,29,52,
Potential Pure Heroin,,,,,,,,,
Afghanistan,630,390,510,510,650,740,480,680,"1,070"
Burma,29,51,43,,76,85,,79,
Colombia,3,,,,,3,3,,
Guatemala,,,,.5,1,2,1,1,InProcess
Laos,1,2,6,,,,,9,
Mexico,,,30,26,26,42,70,81,111
Pakistan,3,,,3,26,12,3,6,
Total Potential L. America Heroin Production,,,30,27,27,47,74,82,InProcess
Total Potential Worldwide Heroin Production,,,590,540,780,880,560,856,
Potential Pure Cocaine,,,,,,,,,
Bolivia,180,190,195,165,190,225,255,275,249
Colombia,315,280,220,210,235,324,545,772,921
Peru,245,340,310,310,360,355,410,410,491
Total Potential Pure Cocaine,740,810,725,685,785,904,"1,210","1,460","1,660"
Potential Export-QualityCocaine,,,,,,,,,
Bolivia,205,210,220,190,240,300,310,320,289
Colombia,420,380,290,270,310,423,723,990,"1,100"
Peru,290,390,370,395,435,435,510,475,544
Total Potential Export-QualityCocaine,915,980,880,855,985,"1,160","1,540","1,790","1,930"
