Country or territory,Ephedrine,Ephedrine preparations,Pseudoephedrine,Pseudoephedrine preparations,"3,4-MDP-2-Pa",P-2-Pb
Afghanistan,0,40,0,2 000,0,0
Albania,45,0,5,0,0,0
Algeria,20,17 000,0,0,0,1
Argentina,45,0,25 098,175,0,0
Armenia,0,0,0,0,0,0
Ascension Island,0,0,0,0,0,0
Australia,5,8,4 800,1 680,0,1
Austria,130,1,1,1,1,1
Azerbaijan,20,10,10,0,0,0
Bahrain,1,10,1,850,0,0
Bangladesh,200,0,0,0,0,0
Barbados,200,200,58,0,0,i
Belarus,0,25,20,20,0,0
Belgium,600,100,9 000,8 000,0,5
Belize,P,P,0,0,0,i
Benin,2,3,8,22,0,i
Bhutan,0,0,0,0,0,0
Bolivia,25,1,600,755,0,0
Bosnia and Herzegovina,1,2,1 810,1 532,0,0
Botswana,300,0,0,0,0,i
Brazil,1 200c,0,33 000,0,0,0
Brunei Darussalam,0,1,0,16,0,0
Bulgaria,1 098,296,20,0,0,0
Burundi,5,5,15,0,0,i
Cabo Verde,0,1,0,0,0,0
Cambodia,200,50,300,900,0,i
Cameroon,25,0,1,0,0,i
Canada,7000,10,30 000,25 000,1,1
Chile,30,0,5 500,560,0,0
China,24 000,86 000,0,0,0,i
Hong Kong SAR of China,2 500,0,10 149,0,0,0
